place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Absalon	Absalon	(ca. 1128-1201), statsmand og ærkebiskop, omdannede i 1162 familiens benediktinerkloster i Sorø til en cistercienserstiftelse og begunstigede klosteret af både sit privatgods og sit embedsgods.	1872	1872	3	Kometen	256	1	v3:256 (1872)	medium	located+place-type	
Basnæs	Basnæs	hovedgård og gods ved Skælskør. ¶ hovedgård og gods sydøst for Skælskør; ejet af familien Scavenius, hvor specielt Henriette Scavenius (1819-1989) var en nær veninde af H.C. Andersen.	1868	1868 1874	3	Bemærkninger	387	2	v3:387 (1868); v3:396 (1874)	high	head-noun+located+place-type	
Bastillen	Bastillen	borg i Paris, anvendt som fængsel, nedrevet i 1789 ved begyndelsen på den franske revolution.	1866	1866	3	Flyttedagen	127	1	v3:127 (1866)	high	head-noun+located+place-type	
Borddansen	Borddansen	interessen for spiritismen havde bredt sig fra USA i årene efter 1850. Bordet, der bevæger sig af sig selv, var et fast indslag i de spiritistiske seancer.	1874	1874	3	Bemærkninger til Eventyr og Historier	400	1	v3:400 (1874)	medium	located	
Bækken … hellig	Bækken … hellig	den kastaliske kilde, nu Hagios Johannes. Ifølge sagnet kastede nymfen Kastalia sig i kilden, da hun blev forfulgt af Apollon. Kildevandet antoges at kunne begejstre digtere.	1862	1862	3	Venskabs-Pagten	28	1	v3:28 (1862)	high	head-noun+place-type	
Christiansborg Slot	Slottet	Christiansborg Slot, opført 1731-1740.	1868	1868	3	Gudfaders Billedbog	184	1	v3:184 (1868)	high	head-noun+place-type	
Danmarks Riimkrønike	Danmarks Riimkrønike	er blevet til i klosteret i Sorø, forfattet af munken broder Niels. Den slutter med året 1477 og er sandsynligvis afsluttet samme år. Den er udgivet som den første trykte bog på dansk af Gotfred af Ghemen i 1495 og genudgivet af Chr. Molbech i 1825.	1868	1868	3	Gudfaders Billedbog	174	1	v3:174 (1868)	medium	located+place-type	
Delphi	Delphi	græsk by, i oldtiden kendt for sit Apollontempel med tilhørende orakel.	1862	1862	3	Venskabs-Pagten	27	1	v3:27 (1862)	high	in-register+place-type	geo-263219
Dom	Dom	domkirke.	1868	1868	3	Gudfaders Billedbog	178	1	v3:178 (1868)	high	head-noun+place-type	
en Critiker … Fortællingen	en Critiker … Fortællingen	H.C. Andersen hentyder øjensynligt til C. Rosenbergs anmeldelse af Nye Eventyr og Historier. Fjerde Samling, trykt i Dansk Maanedsskrift, 1. bind, 1860, s. 419-421.	1868	1868	3	Bemærkninger	385	1	v3:385 (1868)	medium	located	
en slank Søile	en slank Søile	selve søjlen stammer fra Caracallas termer i Rom, statuen af retfærdighedsgudinden fra 1581 er af Francesco del Tadda.	1862	1862	3	Metalsvinet	24	1	v3:24 (1862)	medium	located	
Frijsenborg	Frijsenborg	hovedgård og gods ved Hammel, nordvest for Århus.	1868	1868	3	Bemærkninger	389	1	v3:389 (1868)	high	head-noun+located+place-type	
Gisselfeld	Gisselfeldt	Gisselfeld, hovedgård fra middelalderen 14 km nordøst for Næstved.	1863	1863	3	Bemærkninger	372	1	v3:372 (1863)	medium	located+place-type	
Glorup i Fyen	Glorup i Fyen	hovedgård fra middelalderen syd for Nyborg.	1863	1863	3	Bemærkninger	376	1	v3:376 (1863)	high	head-noun+located+place-type	
Holsteinborg	Holsteinborg	herregård 13 km øst for Skælskør. ¶ hovedgård og gods ved Skælskør.	1867	1867 1868	3	Vænø og Glænø	146	2	v3:146 (1867); v3:389 (1868)	high	head-noun+located+place-type	
Hr. Brockenhuus til Egeskov	Hr. Brockenhuus til Egeskov	jf. Thiele I, 112 f.; Egeskov, herregård 21 km nordøst for Fåborg.	1870	1870	3	Hønse-Grethes Familie	234	1	v3:234 (1870)	medium	located+place-type	
Kirke for Sanct Nicolai	Kirke for Sanct Nicolai	jf. L.J. Flamand, s. 4: »Kjøbmændene havde lige ude ved Stranden deres egen lille Kirke, hvor de skyndte sig hen, saasnart de naaede Land; (...) den blev kaldet Nicolaikirke efter den hellige Nicolaus, der ansaaes for Skippernes Helgen«.	1868	1868	3	Gudfaders Billedbog	172	1	v3:172 (1868)	medium	located	
Kongens Slot	Kongens Slot	det middelalderlige Københavns Slot, nedrevet 1730-1731 for at give plads til Christiansborg.	1870	1870	3	Hønse-Grethes Familie	236	1	v3:236 (1870)	medium	located+place-type	
Kongeveien	Kongeveien	i 1795-1813 blev Nyborg landevej, der oprindelig blev ført ind i byen nord for Odense å, flyttet syd for åen.	1872	1872	3	Hvad gamle Johanne fortalte	307	1	v3:307 (1872)	medium	located+place-type	
Maxen	Maxen	godset Maxen ved Dresden tilhørte major Friedrich Anton Serre og dennes familie, som H.C. Andersen fra 1844 jævnligt besøgte.	1863	1863	3	Bemærkninger	373	1	v3:373 (1863)	high	head-noun+place-type	
Notre-Dame	Notre-Dame	Paris’ hovedkirke, opført 1163-ca. 1345 på Île de la Cité.	1868	1868	3	Dryaden	205	1	v3:205 (1868)	medium	located+place-type	
Nysø	Nysø	hovedgård og gods fra 1670 ved Præstø. På H.C. Andersens tid ejet af baron Henrik Stampe (1794-1876).	1863	1863	3	Bemærkninger	373	1	v3:373 (1863)	high	in-register+head-noun+located+place-type	geo-2615912
Ottesund	Ottesund	Oddesund.	1865	1865	3	Bispen paa Børglum og hans Frænde	82	1	v3:82 (1865)	high	head-noun+place-type	
palazzo degli Uffizi	palazzo degli Uffizi	opført som administrationsbygning 1560-1574, senere indrettet til kunstsamling.	1862	1862	3	Metalsvinet	15	1	v3:15 (1862)	high	in-register	place-000067
Rosenborg	Rosenborg	lystslot, opført 1606-1634.	1868	1868	3	Gudfaders Billedbog	178	1	v3:178 (1868)	high	head-noun+place-type	
Rosenvænget	Rosenvænget	kvarter på det ydre Østerbro, grænsende op til Øresund, hvor en række prominente borgere og kunstnere, heriblandt fx Johanne Luise Heiberg, fra 1850’erne lod opføre villaer. ¶ kvarter på det ydre Østerbro, grænsende op til Øresund, hvor en række prominente borgere og kunstnere, heriblandt fx Johanne Luise Heiberg,  fra 1850’erne lod opføre villaer.	1872	1872 1874	3	»Rolighed«	306	2	v3:306 (1872); v3:398 (1874)	high	head-noun+located+place-type	
Sankt Helena	Sanct Helene	Sankt Helena, ø i Sydatlanten, hvortil Napoleon 1. blev forvist efter slaget ved Waterloo 1815.	1868	1868	3	Gudfaders Billedbog	182	1	v3:182 (1868)	medium	located+place-type	
Slottet Graasteen	Slottet Graasteen	hovedgård i Sønderjylland ved Gråsten, tilhørte på H.C. Andersens tid hertugen af Augustenborg.	1863	1863	3	Bemærkninger	374	1	v3:374 (1863)	high	head-noun+located+place-type	
Sparta	Sparta	græsk by, i oldtiden det politiske centrum i bystaten af samme navn.	1862	1862	3	Venskabs-Pagten	27	1	v3:27 (1862)	high	in-register+place-type	geo-253394
Springflod	Springflod(en)	højeste flod, højvande.	1868	1868	3	Bemærkninger	382	1	v3:382 (1868)	high	head-noun+place-type	
