place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Blois	Blois	fransk by ved Loirefloden, 60 km sydvest for Orléans. Slottet i Blois stammer fra 1200-tallet og er senere udvidet.	1865	1865	13	Da Spanierne var her	500	1	v13:500 (1865)	medium	located+place-type	
Dyrehavs Bakken	Dyrehavs Bakken	Kirsten Piils kilde i Jægersborg Dyrehave blev i 1700-tallet et valfartssted; omkring det samlede Dyrehavsbakkens forlystelser sig med tiden, og stedet blev en hovedattraktion for københavnerne.	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	373	1	v13:373 (1864)	medium	located+place-type	
Helicon	Helicon(s)	bjerg i Boiotien i Grækenland; if. græsk mytologi var det opholdssted for musikkens og digtningens gud Apollon og de ni muser, som var gudinder for hver deres område inden for kunst og videnskab og havde Apollon som anfører.	1853	1853	13	Indledning til Carnevalet	185	1	v13:185 (1853)	high	head-noun+located+place-type	
Høibro	Høibro	bro mellem Slotsholmen og det egentlige København.	1865	1865	13	Da Spanierne var her	511	1	v13:511 (1865)	high	head-noun+located+place-type	
Klublivet	Klubben	Klublivet, der havde sin oprindelse i England og var forbeholdt mænd, blomstrede fra slutningen af 1700-tallet; i begyndelsen var klubberne centre for ny borgerlig samfunds- og kulturdebat; senere fik mange klubber selskabelig karakter.	1865	1865	13	Da Spanierne var her	488	1	v13:488 (1865)	medium	located	
Knippelsbro	Knippelsbro	lidt nord for Langebro; forbandt Slotsholmen med Brogade på Christianshavn.	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	389	1	v13:389 (1864)	medium	located+place-type	
Krudttaarnet	Krudttaarnet	kan være et af krudttårnene på Christianshavns Vold: tårnet i Charlotte Amalies Bastion (opf. 1744-1745 af C.E.D. von Oetken) eller tårnet i Enhjørningens Bastion (ca. 1750).	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	389	1	v13:389 (1864)	medium	located+place-type	
La Storta	La Storta	by nord for Rom.	1869	1869	13	I Vetturin(ens)(italiensk) hyrekusk.Vetturinens Vogn	550	1	v13:550 (1869)	high	in-register+head-noun+located+place-type	geo-3175075
Linieskib	Linieskib	»Prinds Christian Frederik« havde været stationeret i Norge og var derfor ikke blevet røvet af englænderne 1807. Skibet blev angrebet og ødelagt af to engelske orlogsskibe ved Sjællands Odde 22. marts 1808.	1865	1865	13	Da Spanierne var her	489	1	v13:489 (1865)	medium	located	
Malvina	Malvina	navnet på skjalden Ossians afdøde søns elskede i Ossian-digtningen. Den keltiske sagnfigur Ossian er især kendt fra James Macphersons epos fra 1700-tallet. St. St. Blichers udgav i 1807-1809 sin oversættelse, Ossian 1-2; Digte af Ossian 1-2 ved F.L. Mynster udkom 1850.	1864	1864	13	Han er ikke fødtadelig af fødsel.født	436	1	v13:436 (1864)	medium	located	
Maritana	Maritana	gadesangersken i Don César de Bazan, 1844, lystspil af de franske dramatikere Philippe François Pinel Dumanoir og D’Ennery (egl. Adolphe Philippe); dansk Don Cæsar de Bazan, oversat af N.C.L. Abrahams, opført på Det Kongelige Teater 1846.	1850	1850	13	Ole Lukøie	68	1	v13:68 (1850)	medium	located	
Mel. af … Ernani	Mel. af … Ernani	af Elviras kavatine i I,4 af G.Verdis opera Ernani, 1844, med tekst af F.M. Piave; opført på Hofteatret af italienske sangere 1846. Elvira synger: »Tutto sprezzo che d’Ernani non favella a questo core« (takt 122 ff.). Trykt klaverpartitur til Ernani findes.	1851	1851	13	HyldemoerH.C. Andersen skriver i de »Bemærkninger«, som afsluttede <i>Eventyr og Historier. Andet Bind</i>, 1863 (BFN 974), at kimen til eventyret »Hyldemoer« »ligger i det af <i>Thiele</i> fortalte Sagn: »Der boer i Hyldetræet et Væsen, som kaldes Hyldemo’er, eller Hyldeqvind. Hun hevner al Overlast, der tilføies Træet ... ««(jf. denne udgaves bd. 3, s. 372 samt Thiele 2, 2, s. 282 ff.).Hyldemoer	115	1	v13:115 (1851)	medium	located	
Nankin	Nankin	den kinesiske by Nanking eller Nanjing.	1850	1850	13	Ole Lukøie	67	1	v13:67 (1850)	high	head-noun+place-type	
Nicolai Kirke	Nicolai Kirke	Københavns vistnok ældste kirke, på Nikolaj Plads i indre by.	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	343	1	v13:343 (1864)	medium	located+place-type	
Olevano	Olevano	by 45 km øst for Rom; har pga. sine maleriske omgivelser været et yndet opholdssted for kunstnere.	1869	1869	13	I Vetturin(ens)(italiensk) hyrekusk.Vetturinens Vogn	555	1	v13:555 (1869)	high	head-noun+located+place-type	
Pesten	Pesten	København blev i 1711 ramt af en pest, som skal have kostet o. 23.000 menneskeliv.	1865	1865	13	Da Spanierne var her	491	1	v13:491 (1865)	high	head-noun+place-type	
Philisterne	Philisterne(s)	Israels vestlige naboer på kyststrækningen fra Gaza til Jaffa (nu Tel-Aviv).	1876	1876	13	Kong Saulkong Saul var Israels første konge, o. 1000 f.Kr.Kong Saul	567	1	v13:567 (1876)	medium	located	
Poitiers	Poitiers	by i Vestfrankrig.	1864	1864	13	Han er ikke fødtadelig af fødsel.født	440	1	v13:440 (1864)	high	head-noun+located+place-type	
Salamanca	Salamanka	Salamanca, provins i Nordvestspanien.	1850	1850	13	Ole Lukøie	12	1	v13:12 (1850)	medium	located+place-type	
Stranden	Stranden	havet.	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	339	1	v13:339 (1864)	high	head-noun+place-type	
Støtten … Buonaparte	Støtten … Buonaparte	den ca. 43 m høje Vendôme-søjle på Place Vendôme, rejst 1806-1810 som sejrsmonument for Napoleon 1.s (Napoléon Bonapartes) felttog 1805 og støbt af 1200 erobrede kanoner.	1851	1851	13	HyldemoerH.C. Andersen skriver i de »Bemærkninger«, som afsluttede <i>Eventyr og Historier. Andet Bind</i>, 1863 (BFN 974), at kimen til eventyret »Hyldemoer« »ligger i det af <i>Thiele</i> fortalte Sagn: »Der boer i Hyldetræet et Væsen, som kaldes Hyldemo’er, eller Hyldeqvind. Hun hevner al Overlast, der tilføies Træet ... ««(jf. denne udgaves bd. 3, s. 372 samt Thiele 2, 2, s. 282 ff.).Hyldemoer	109	1	v13:109 (1851)	medium	located	
Valby … laae	Valby … laae	det var almindeligt, at det københavnske borgerskab lå på landet i Valby.	1869	1869	13	I Vetturin(ens)(italiensk) hyrekusk.Vetturinens Vogn	554	1	v13:554 (1869)	medium	located+place-type	
