place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Bazar	Bazar(en)	gade eller torv med købmandsboder.	1840	1840	11	Maurerpigen	461	1	v11:461 (1840)	high	head-noun+place-type	
boble, boble Kilden	boble, boble Kilden	omkvæd af terzetten »Risler, alle Kilder smaa« fra Weyses og Oehlenschlägers syngespil Faruk, opført på Det Kongelige Teater 1812.	1841	1841	11	Vandring gjennem Opera-Galleriet	524	1	v11:524 (1841)	medium	located	
Bouchain	Bouchain	by i Nordfrankrig, hvor Mikkels herskab, majoren, har fået anvist kvarter, men som han forlader for at tage til Paris.	1840	1840	11	Mikkel(s)majorens tjener i J.L. Heibergs vaudeville <i>De Danske i Paris</i>, opført på Det Kongelige Teater 1833.Mikkels Kjærligheds Historier i Paris	377	1	v11:377 (1840)	high	head-noun+located+place-type	
Cumnor-Place	Cumnor-Place	på Elisabeth 1.s tid et landsted i Cumnor, en by i Berkshire øst for Oxford. H.C. Andersens og Weyses tidlige version (Collinske Samling 21, I, 4°, nr. 668) har, i lighed med stavemåden i Scotts roman: Cumnor. Den ukomplette omarbejdelse nr. 2 har begge stavemåder, dog hyppigst: Cumnor. Alle sufflørbøger har: Cunmor. Jf. rettelseslisten.	1774	1774	11	Festen paa Kenilworthengelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.Kenilworth	12	1	v11:12 (1774)	medium	located+place-type	
den høje Strand	den høje Strand	den høje kyst.	1774	1774	11	Festen paa Kenilworthengelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.Kenilworth	84	1	v11:84 (1774)	high	head-noun+place-type	
Escorial	Escurial(s)	Escorial, by ca. 50 km nordvest for Madrid med et storslået slots- og klosteranlæg, bygget 1563-1584 for Filip 2.	1836	1836	11	Skilles og mødes	177	1	v11:177 (1836)	medium	located+place-type	
Flensborg … godt klædt	Flensborg … godt klædt	den sønderjyske købstad, som dengang var dansk, og hvis indbyggere i hovedsagen var dansksindede op til 1848, var kommet godt på fode efter krigen 1807-1814; efter 1848 gik det tilbage for byen.	1842	1842	11	Fuglen i Pæretræet	550	1	v11:550 (1842)	high	head-noun+place-type	
Gaardskarlen fra de fem Flasker	Gaardskarlen fra de fem Flasker	i Skuespilleren imod sin Villie optræder personen Dalby i I,2 som »Gaardskarlen fra den forgyldte Hane«.	1840	1840	11	En Comedie i det Grønne	387	1	v11:387 (1840)	medium	located+place-type	
Graabrødre-Kirke	Graabrødre-Kirke	den forfaldne klosterkirke, som var opført i 1280’erne, og hvis nedrivning påbegyndtes 1805, blev af de spanske hjælpetropper brugt til militært depot og kvarter.	1836	1836	11	Skilles og mødes	173	1	v11:173 (1836)	high	head-noun+place-type	
Greenwich	Greenwich	bydel i London; en kongelig residens i Greenwich er omtalt, mens Edvard 1. (konge 1272-1307) regerede. Henrik 5. (konge 1413-1422) opførte her slottet Bella Court, som bestod under skiftende navne og var genstand for ombygninger og, bl.a. under Elisabeth 1., for udvidelser. Elisabeth holdt hof her.	1774	1774	11	Festen paa Kenilworthengelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.Kenilworth	47	1	v11:47 (1774)	high	head-noun+located+place-type	
Hamlets Grav	Hamlets Grav	Marienlyst Slot lidt nord for Helsingør skulle efter dronning Juliane Maries død 1796 have været hofslot; i den anledning anlagdes nær slottet en romantisk have, »Hamlets have«, med bl.a. en gravhøj, der kaldtes »Hamlets grav«. Slottet kom dog ikke til at huse hoffet.	1836	1836	11	Skilles og mødes	200	1	v11:200 (1836)	medium	located+place-type	
