place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Acropolis	Acropolis	ruinerne af Athens højtbeliggende borg- og tempelområde.	1846	1846	16	Mit eget Eventyr uden Digtning	258	1	v16:258 (1846)	high	in-register+head-noun+place-type	geo-265409
Anna Barbara Jensenius	Præste-Enke	Anna Barbara Jensenius, f. Petersen, enke efter sognepræst til Vejlby ved Middelfart Johan Jürgen Jensenius. Hun boede i stiftelsen Eilschous Boliger i Munkemøllestræde skråt overfor H.C. Andersens barndomshjem.	1846	1846	16	Mit eget Eventyr uden Digtning	189	1	v16:189 (1846)	medium	located+place-type	
Antvorskov Kloster	Antvorskou-Slot	Antvorskov Kloster, 1 km syd for Slagelse, blev nedrevet 1816.	1846	1846	16	Mit eget Eventyr uden Digtning	213	1	v16:213 (1846)	medium	located+place-type	
Archipelagus	Archipelagus	øhav.	1846	1846	16	Mit eget Eventyr uden Digtning	244	2	v16:244 (1846); v16:292 (1846)	high	head-noun+place-type	
Asmildkloster	Asmildkloster	herregård ved Viborg. Oprindelig et kloster for nonner af Augustinerordenen beliggende i Asmild Kirkes nordfløj. Efter reformationen blev klostret omdannet til herregård.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	high	head-noun+located+place-type	
Augustenborg	Augustenborg	slottet ligger på Als.	1846	1846	16	Mit eget Eventyr uden Digtning	294	1	v16:294 (1846)	high	head-noun+located+place-type	
Bastholms Bibliothek	Bastholms Bibliothek	præst ved Sankt Peders Kirke i Slagelse, Hans Bastholm, havde samlet et omfattende bibliotek, der i 1825 bestod af 5435 bind og i 1847 af 7226. I 1826 traf Bastholm aftale med Sorø Akademi om, at man kunne overtage bogsamlingen på et senere tidspunkt mod en livrente til ham og hans kone. I 1846 overgik de første 5000 bind og resten efter Bastholms død i 1866.	1832	1832	16	Levnedsbog	99	1	v16:99 (1832)	medium	located+place-type	
Borg	Borg	Næsbyhoved Slot. Ødelagt i 1534 under Grevens Fejde og endelig nedrevet i 1764.	1832	1832	16	Levnedsbog	160	1	v16:160 (1832)	medium	located+place-type	
Bregentved	Bregentved	hovedgård 5 km sydøst for Haslev.	1846	1846	16	Mit eget Eventyr uden Digtning	263	1	v16:263 (1846)	high	head-noun+located+place-type	
Bunkeflod var død	Bunkeflod var død	Bunkeflod døde i 1805.	1832	1832	16	Levnedsbog	63	1	v16:63 (1832)	high	head-noun+place-type	
Burgtheater	Burgtheater	kongeligt teater åbnet 1742, siden flyttet. På H.C. Andersens tid Wiens fornemste teater.	1846	1846	16	Mit eget Eventyr uden Digtning	249	1	v16:249 (1846)	medium	located	
Campagnen	Campagnen	sletten, der omgiver Rom.	1846	1846	16	Mit eget Eventyr uden Digtning	320	1	v16:320 (1846)	high	head-noun+place-type	
Christian Friedrich Tieck	Billedhuggeren Tieck	Christian Friedrich Tieck, broder til Ludwig.	1846	1846	16	Mit eget Eventyr uden Digtning	307	1	v16:307 (1846)	medium	located	
danske Maanedskrift for Litteratur	danske Maanedskrift for Litteratur	omtalen er ikke lokaliseret, men digtet er »Veirmøllen paa Bakken« i Phantasier og Skizzer, 1831: »Dog Maanens Lys er ikke slukt, Thi see en Regnbue hvælver smukt«; jf. denne udgave bd. 7 s. 274.	1846	1846	16	Mit eget Eventyr uden Digtning	260	1	v16:260 (1846)	medium	located+place-type	
de Fattiges Kirkegaard	de Fattiges Kirkegaard	kirkegård for ubemidlede. I Odense en del af kirkegården hørende til Sankt Knuds Kirke.	1832	1832	16	Levnedsbog	104	1	v16:104 (1832)	medium	located	
Den Collinske Gaard	det Huus	Den Collinske Gaard, en gammel bindingsværksbygning, lå i Bredgade på det nuværende nr. 4’s plads, ved siden af Kanneworffs hus. Nedrevet 1853.	1846	1846	16	Mit eget Eventyr uden Digtning	207	1	v16:207 (1846)	medium	located+place-type	
den gamle Thelegraf-Bestyrer … Skolemester	den gamle Thelegraf-Bestyrer … Skolemester	Fedder Carstens havde i 1810 i Odense oprettet en drengeskole, hvis elever bl.a. talte H.C. Andersen. I perioden maj 1813-august 1814 var han ansat ved den optiske telegraf på Tåsinge.	1832	1832	16	Levnedsbog	161	1	v16:161 (1832)	medium	located	
den smukke Aae	den smukke Aae	Odense Å. Fyns længste vandløb, ca. 60 km langt.	1832	1832	16	Levnedsbog	114	1	v16:114 (1832)	high	head-noun+place-type	
