place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Abbotsford	Abbotsford	Walter Scotts herregård ved Tweed i Skotland.	1849	1849	5	De to Baronesser	413	1	v5:413 (1849)	medium	located+place-type	
Alhambra	Alhambra(s)	Maurerkongernes slot uden for Granada i Spanien.	1837	1837	5	Kun en Spillemand	219	1	v5:219 (1837)	medium	located+place-type	
Amrom	Amrom	øen Amrum vest for Föhr.	1849	1849	5	De to Baronesser	384	1	v5:384 (1849)	high	head-noun+place-type	
Archipelagus	Archipelagus	(græsk: arkipelagos) øhav.	1849	1849	5	De to Baronesser	322	1	v5:322 (1849)	high	head-noun+place-type	
Bastillen	Bastillen	middelalderborg i Paris anvendt som fængsel, stormet den 14. juli 1789 som start på den franske revolution og nedrevet umiddelbart efter.	1837	1837	5	Kun en Spillemand	196	1	v5:196 (1837)	high	head-noun+located+place-type	
Bjergprædiken	Bjergprædiken	sigter til den såkaldte bjergprædiken i Matthæus 5-7.	1837	1837	5	Kun en Spillemand	71	1	v5:71 (1837)	medium	located	
Bloksbjerg	Brocken	Bloksbjerg; det højeste bjerg i Harzen. ¶ Bloksbjerg; det højeste bjerg i Harzen, hvor heksene ifølge folketroen samlede sig.	1837	1837	5	Kun en Spillemand	47	2	v5:47 (1837); v5:277 (1837)	high	in-register+head-noun+located+place-type	place-000023
Bregentved	Bregentved(s)	herregård ved Haslev.	1849	1849	5	De to Baronesser	444	1	v5:444 (1849)	high	head-noun+located+place-type	
Broholm	Broholm	herregård i Gudme nord for Svendborg.	1837	1837	5	Kun en Spillemand	56	1	v5:56 (1837)	high	head-noun+located+place-type	
Campagnen	Campagnen	den store slette, der omgiver Rom.	1837	1837 1849	5	Kun en Spillemand	251	2	v5:251 (1837); v5:462 (1849)	high	head-noun+place-type	
Cap Mysenum	Cap Mysenum	forbjerget Capo di Miseno ved Napoli.	1837	1837	5	Kun en Spillemand	15	1	v5:15 (1837)	high	head-noun+place-type	
Capris Klippehuler	Capris Klippehuler	kysten på øen Capri i Middelhavet ud for Napoli er rig på huler dannet af havet.	1837	1837	5	Kun en Spillemand	87	1	v5:87 (1837)	high	head-noun+place-type	
Charlottenborg	Charlottenborg	slot ved Kongens Nytorv, hvor Kunstakademiet havde til huse, og hvor Thorvaldsen som Kunstakademiets direktør 1833-1844 havde embedsbolig.	1849	1849	5	De to Baronesser	491	1	v5:491 (1849)	high	head-noun+located+place-type	
Cæsar ved Rubikon	Cæsar ved Rubikon	grænsefloden mellem Italien og Gallia Cisalpina, dvs. Posletten, som Cæsar besluttede at overskride; derved begyndte borgerkrigen 49 f.Kr.	1837	1837	5	Kun en Spillemand	178	1	v5:178 (1837)	high	head-noun+located+place-type	
den botaniske Have	den botaniske Have	lå 1777-1874 langs Nyhavn bag Charlottenborg.	1837	1837	5	Kun en Spillemand	110	1	v5:110 (1837)	high	in-register+place-type	place-000015
Eiderstedt	Eiderstedt	halvø i Vadehavet nord for byen Husum i Slesvig.	1849	1849	5	De to Baronesser	433	1	v5:433 (1849)	high	head-noun+located+place-type	
Fredericia	Fredericia	den første danske by, hvortil indvandrede jøder fik adgang (fra 1600-tallet).	1837	1837	5	Kun en Spillemand	31	1	v5:31 (1837)	high	head-noun+place-type	
Fæstning	Fæstning	København var omgivet af volde med porte indtil 1857.	1849	1849	5	De to Baronesser	445	1	v5:445 (1849)	high	head-noun+place-type	
Gammeltorv	Plads … Guldæbler	Gammeltorv, hvor springvandet på de kongelige fødselsdage springer med ‘guldæbler’, dvs. forgyldte kugler, som hviler på springvandets stråler.	1837	1837	5	Kun en Spillemand	111	1	v5:111 (1837)	high	head-noun+place-type	
Ganges	Ganges	hellig flod i Indien.	1837	1837	5	Kun en Spillemand	188	1	v5:188 (1837)	medium	located+place-type	
Gisselfeldt	Gisselfeldt	herregård ved Haslev på Sjælland.	1849	1849	5	De to Baronesser	444	1	v5:444 (1849)	high	head-noun+located+place-type	
Graabrødre Kirke	Kirke og Klostergaard	Graabrødre Kirke, delvis nedrevet i 1828, var oprindelig klosterkirke i det gamle Gråbrødrekloster (ca. 1236-1533). En tofløjet bygning lidt nord for kirken blev på romanens tid i folkemunde kaldt Klostergaarden.	1837	1837	5	Kun en Spillemand	44	1	v5:44 (1837)	high	head-noun+place-type	
Haarlem	Haarlem	by i Holland.	1849	1849	5	De to Baronesser	421	1	v5:421 (1849)	high	head-noun+located+place-type	
Halligerne	Halligerne	ti ganske flade øer med marskland ved Slesvigs vestkyst.	1849	1849	5	De to Baronesser	355	1	v5:355 (1849)	medium	located+place-type	
Herlufsholm	Herlufsholm	herregård ved Næstved på Sjælland.	1849	1849	5	De to Baronesser	442	1	v5:442 (1849)	high	head-noun+located+place-type	
Horne	Horne	landsby i nærheden af Fåborg.	1837	1837	5	Kun en Spillemand	21	1	v5:21 (1837)	high	head-noun+place-type	
Hovedvagten	Hovedvagten	den gamle hovedvagtbygning på Kongens Nytorv, hvor vagtparaden trak op (nedrevet 1875).	1837	1837	5	Kun en Spillemand	116	1	v5:116 (1837)	medium	located+place-type	
Inverneß	Inverneß	byen Inverness i det nordlige Skotland.	1849	1849	5	De to Baronesser	416	1	v5:416 (1849)	high	head-noun+place-type	
Josephsdorf og Kloster-Neuburg	Josephsdorf og Kloster-Neuburg	to mindre byer i Wiens omegn.	1837	1837	5	Kun en Spillemand	231	1	v5:231 (1837)	medium	located+place-type	
Josephstadt	Josephstadt	distrikt i det centrale Wien, opført i 1700-tallet.	1837	1837	5	Kun en Spillemand	219	1	v5:219 (1837)	high	head-noun+place-type	
Kloster-Mölck	Kloster-Mölck	det store benediktinerkloster Melk fra 1089 ved Donau, siden ombygget i barokstil.	1837	1837	5	Kun en Spillemand	233	1	v5:233 (1837)	high	head-noun+place-type	
Klosteret	Klosteret	det gamle Augustinerkloster i Klosterneuburg.	1837	1837	5	Kun en Spillemand	233	1	v5:233 (1837)	high	head-noun+place-type	
Kobberporte	Kobberporte	ved Ørkild slotsbanke ved Svendborg.	1849	1849	5	De to Baronesser	322	1	v5:322 (1849)	medium	located+place-type	
Kolonnaden	Kolonnaden	søjlepartiet ved indkørslen til Amalienborg.	1849	1849	5	De to Baronesser	453	1	v5:453 (1849)	medium	located+place-type	
Kværndrup	Qværndrup	Kværndrup, landsby nordvest for Svendborg.	1837	1837	5	Kun en Spillemand	16	1	v5:16 (1837)	medium	located+place-type	
Land … flood	Land … flood	(engelsk) den brune hede og den uvejsomme skovs land, / bjergets og flodens land!; citat fra The Lay of the Last Minstrel, 6. sang, 1805.	1849	1849	5	De to Baronesser	413	1	v5:413 (1849)	high	head-noun+place-type	
Leopoldsslot	Leopoldsslot	slottet i Leopoldsberg.	1837	1837	5	Kun en Spillemand	233	1	v5:233 (1837)	high	head-noun+located+place-type	
Liebau	Liebau	kystbyen Liepa¯ja i Letland.	1837	1837	5	Kun en Spillemand	154	1	v5:154 (1837)	high	head-noun+place-type	
Lucca	Lucca	by nordvest for Firenze.	1837	1837	5	Kun en Spillemand	262	1	v5:262 (1837)	high	head-noun+located+place-type	
Maria della Pace	Maria della Pace	(italiensk) fredens Maria, kirke vest for Piazza Navona.	1837	1837	5	Kun en Spillemand	262	1	v5:262 (1837)	medium	located+place-type	
Mietau	Mietau	byen Mitau i Kurland, område i Letland.	1837	1837	5	Kun en Spillemand	154	1	v5:154 (1837)	high	head-noun+place-type	
Nonnebakken	Nonnebakken	bakke syd for Odense å, tæt på Skt. Knuds Kirke, hvor der i middelalderen lå et nonnekloster; Nonnebakken var de endnu synlige rester af et borganlæg fra vikingetiden af Trelleborg-typen.	1837	1837	5	Kun en Spillemand	145	1	v5:145 (1837)	high	in-register+head-noun+located+place-type	place-000005
Oldeslohe	Oldeslohe	holstensk by nordøst for Hamborg.	1837	1837	5	Kun en Spillemand	73	1	v5:73 (1837)	medium	located+place-type	
Ou roulent … aussi	Ou roulent … aussi	(fransk) Hvor kanonerne ruller, hvor legionerne passerer! / Folket er også et hav! Fra Ode til søjlen i digtsamlingen Les chants du crépuscule (tusmørkets sange), 1835.	1837	1837	5	Kun en Spillemand	281	1	v5:281 (1837)	medium	located+place-type	
Pantheon	Pantheon	Panthéon des Français i Paris, bygget 1757-1789, oprindeligt Sainte-Geneviève, kirke for byens skytshelgeninde Genoveva, fra 1791 begravelsessted for betydningsfulde franske personligheder.	1837	1837	5	Kun en Spillemand	204	1	v5:204 (1837)	high	in-register	geo-6619450
piazza venezia	piazza venezia	plads, opkaldt efter den venetianske ambassade.	1837	1837	5	Kun en Spillemand	250	1	v5:250 (1837)	high	head-noun+place-type	
Pladsen	Pladsen	den spanske plads (Piazza di Spagna).	1837	1837	5	Kun en Spillemand	260	1	v5:260 (1837)	high	head-noun+place-type	
pont neuf	pont neuf	(fransk) den nye bro; en af Seinebroerne.	1837	1837	5	Kun en Spillemand	279	1	v5:279 (1837)	high	head-noun+place-type	
Scheveningen	Scheweningen	Scheveningen, lille fiskerby ved Haag i Nordholland.	1849	1849	5	De to Baronesser	422	1	v5:422 (1849)	medium	located+place-type	
Schönbrunn	Schönbrunn	kejserligt lystslot sydvest for Wien.	1837	1837	5	Kun en Spillemand	219	1	v5:219 (1837)	medium	located+place-type	
Seesand	Seesand	den lille ø, Søsand, syd for Amrum.	1849	1849	5	De to Baronesser	397	1	v5:397 (1849)	high	head-noun+located+place-type	
Serail	Serail	palads, harem.	1837	1837	5	Kun en Spillemand	69	1	v5:69 (1837)	high	head-noun+place-type	
Sevel	Sevel	degn og lærer ved Vor Frue kirkeskole i Svendborg på romanens tid.	1837	1837	5	Kun en Spillemand	54	1	v5:54 (1837)	medium	located+place-type	
Slavonier	Slavonier	indbygger i Slavonien, som var under det ungarske kongeriges herredømme.	1837	1837	5	Kun en Spillemand	219	1	v5:219 (1837)	medium	located	
Snurren	Snurren	formodentlig et værtshusnavn; også navn på en gade i Odense på romanens tid.	1837	1837	5	Kun en Spillemand	155	1	v5:155 (1837)	medium	located+place-type	
Spiegelberg	Spiegelberg(s)	fæstningen Spielberg ved Brunn i Mähren, hvor Silvio Pellico havde siddet fængslet.	1837	1837	5	Kun en Spillemand	225	1	v5:225 (1837)	high	head-noun+place-type	
Svindinge	Svindinge	sogn på Fyn nær Storebælt i det, der dengang var Gudme herred.	1849	1849	5	De to Baronesser	302	1	v5:302 (1849)	high	head-noun+located+place-type	
Sybiller	Sybiller	sibyller, spåkvinder; Rafaels sibyller i Santa Maria della Pace er fra 1514.	1837	1837	5	Kun en Spillemand	262	1	v5:262 (1837)	medium	located	
Sylt	Sylt	øen Sild.	1849	1849	5	De to Baronesser	388	1	v5:388 (1849)	high	head-noun+place-type	
Tivoli	Tivoli	lille by 26 km øst for Rom med berømt vandfald og mange springvand (italiensk: cascade).	1837	1837	5	Kun en Spillemand	261	1	v5:261 (1837)	high	in-register+head-noun+located+place-type	geo-3165624
Töplitz	Töplitz	kurbadeby i Slovenien.	1837	1837	5	Kun en Spillemand	231	1	v5:231 (1837)	high	head-noun+located+place-type	
ud til Amalienborg	ud til Amalienborg	Amalienborg var blevet kongebolig efter Christiansborg Slots brand 1794.	1849	1849	5	De to Baronesser	453	1	v5:453 (1849)	high	head-noun+place-type	
Volksgarten	Volksgarten	Folkeparken ved Burgtheater og parlamentet.	1837	1837	5	Kun en Spillemand	220	1	v5:220 (1837)	high	in-register	geo-6697258
Ørebæk	Ørebæk	landsbyen Ørbæk sydvest for Nyborg.	1837	1837	5	Kun en Spillemand	21	1	v5:21 (1837)	high	head-noun+located+place-type	
