place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Eyemouth	Eymouth	Eyemouth, fiskerhavn på Skotlands østkyst.	1832	1832	10	Bruden fra Lammermoor	175	1	v10:175 (1832)	medium	located+place-type	
Frankrig	Frankrig	England havde en hovedmodstander i Frankrig; Ludvig 14.s ønsker vedr. magtfordelingen i Europa førte til bl.a. Den Pfalziske Arvefølgekrig (1688-1697) og Den Spanske Arvefølgekrig (1701-1714), hvor en række europæiske stater, bl.a. England og Holland, gik sammen mod Frankrig.	1832	1832	10	Bruden fra Lammermoor	175	1	v10:175 (1832)	medium	located	
Holmens Magt	Holmens Magt	matroser. Holmen var orlogsværftet på Gammelholm (Bremerholm), nedlagt 1859, og det nye værft på Nyholm på Refshaleøen, anlagt 1686.	1829	1829	10	Kjærlighed paa Nicolai TaarnSankt Nicolai Kirke på Nicolai Plads er første gang nævnt 1261, men er formentlig betydelig ældre. Tårnet opførtes 1582-1591.Ved branden 1795 blev kirken ødelagt og lå hen som ruin; tårnet blev siden indrettet til brug for brandvæsenet, der ejede det 1808-1882. Fra 1820 anvendtes det til brandvagt og signalstation. Den nuværende kirkebygning er opført 1914-1917. Tårnet blev istandsat og fik nyt spir 1908-1910. Om helgenen Sankt Nicolai: se note til s. 87.Nicolai Taarn eller Hvad siger Parterretstå- og siddepladser på teatrets gulv; blev benyttet af bl.a. borgere og studenter og var billigere end logerne, hvor det fine publikum sad. Ofte gav tilskuerne i parterret deres bifald eller mishag stærkt til kende.Parterret	76	1	v10:76 (1829)	medium	located+place-type	
Italien	Italien	H.C. Andersen opholdt sig i Italien fra 19. september 1833 til 24. april 1834.	1843	1843	10	Agnete og Havmandenfolkevisen af samme navn, DgF 38, har følgende handling: Agnete lokkes af havmanden ned på havets bund, hvor hun lever med ham i en række år og føder ham syv sønner. Ved lyden af kirkeklokken oppe fra jorden vækkes hendes savn af menneskelivet. Havmanden indvilger i at lade hende stige op af havet, og hun opsøger sin mor i kirken. Senere kommer havmanden og trygler hende om at komme tilbage, idet han minder hende om børnene; men hun nægter at følge ham. Visen kendes kun fra flyvebladstryk fra 1700-tallet og fra nedskrivning af senere mundtlig overlevering.Agnete og Havmanden	365	1	v10:365 (1843)	high	in-register	place-000052
lothian	(Øst)lothian	landskab i Mellemskotland.	1832	1832	10	Bruden fra Lammermoor	162	1	v10:162 (1832)	high	head-noun+located+place-type	
Møllen	Møllen	byen Möln i Lauenburg, Nordtyskland.	1829	1829	10	Kjærlighed paa Nicolai TaarnSankt Nicolai Kirke på Nicolai Plads er første gang nævnt 1261, men er formentlig betydelig ældre. Tårnet opførtes 1582-1591.Ved branden 1795 blev kirken ødelagt og lå hen som ruin; tårnet blev siden indrettet til brug for brandvæsenet, der ejede det 1808-1882. Fra 1820 anvendtes det til brandvagt og signalstation. Den nuværende kirkebygning er opført 1914-1917. Tårnet blev istandsat og fik nyt spir 1908-1910. Om helgenen Sankt Nicolai: se note til s. 87.Nicolai Taarn eller Hvad siger Parterretstå- og siddepladser på teatrets gulv; blev benyttet af bl.a. borgere og studenter og var billigere end logerne, hvor det fine publikum sad. Ofte gav tilskuerne i parterret deres bifald eller mishag stærkt til kende.Parterret	91	1	v10:91 (1829)	high	head-noun+place-type	
Nicolai Taarn	Nicolai Taarn	Sankt Nicolai Kirke på Nicolai Plads er første gang nævnt 1261, men er formentlig betydelig ældre. Tårnet opførtes 1582-1591.Ved branden 1795 blev kirken ødelagt og lå hen som ruin; tårnet blev siden indrettet til brug for brandvæsenet, der ejede det 1808-1882. Fra 1820 anvendtes det til brandvagt og signalstation. Den nuværende kirkebygning er opført 1914-1917. Tårnet blev istandsat og fik nyt spir 1908-1910. Om helgenen Sankt Nicolai: se note til s. 87.	1829	1829	10	Kjærlighed paa Nicolai TaarnSankt Nicolai Kirke på Nicolai Plads er første gang nævnt 1261, men er formentlig betydelig ældre. Tårnet opførtes 1582-1591.Ved branden 1795 blev kirken ødelagt og lå hen som ruin; tårnet blev siden indrettet til brug for brandvæsenet, der ejede det 1808-1882. Fra 1820 anvendtes det til brandvagt og signalstation. Den nuværende kirkebygning er opført 1914-1917. Tårnet blev istandsat og fik nyt spir 1908-1910. Om helgenen Sankt Nicolai: se note til s. 87.Nicolai Taarn eller Hvad siger Parterretstå- og siddepladser på teatrets gulv; blev benyttet af bl.a. borgere og studenter og var billigere end logerne, hvor det fine publikum sad. Ofte gav tilskuerne i parterret deres bifald eller mishag stærkt til kende.Parterret	71	1	v10:71 (1829)	medium	located+place-type	
Olympen	Olympen	bjergmassiv i Thessalien; i græsk mytologi gudernes bolig.	1843	1843	10	Agnete og Havmandenfolkevisen af samme navn, DgF 38, har følgende handling: Agnete lokkes af havmanden ned på havets bund, hvor hun lever med ham i en række år og føder ham syv sønner. Ved lyden af kirkeklokken oppe fra jorden vækkes hendes savn af menneskelivet. Havmanden indvilger i at lade hende stige op af havet, og hun opsøger sin mor i kirken. Senere kommer havmanden og trygler hende om at komme tilbage, idet han minder hende om børnene; men hun nægter at følge ham. Visen kendes kun fra flyvebladstryk fra 1700-tallet og fra nedskrivning af senere mundtlig overlevering.Agnete og Havmanden	385	1	v10:385 (1843)	medium	located	
Pedri	Pedri	Petri Kirke i Skt. Peders Stræde, vistnok tidligst nævnt 1304. Mange om- og tilbygninger; Petri Kirke blev hovedistandsat efter bombardementet 1807, efter hvilket det nuværende barokspir (fra 1756-1757) var bevaret.	1829	1829	10	Kjærlighed paa Nicolai TaarnSankt Nicolai Kirke på Nicolai Plads er første gang nævnt 1261, men er formentlig betydelig ældre. Tårnet opførtes 1582-1591.Ved branden 1795 blev kirken ødelagt og lå hen som ruin; tårnet blev siden indrettet til brug for brandvæsenet, der ejede det 1808-1882. Fra 1820 anvendtes det til brandvagt og signalstation. Den nuværende kirkebygning er opført 1914-1917. Tårnet blev istandsat og fik nyt spir 1908-1910. Om helgenen Sankt Nicolai: se note til s. 87.Nicolai Taarn eller Hvad siger Parterretstå- og siddepladser på teatrets gulv; blev benyttet af bl.a. borgere og studenter og var billigere end logerne, hvor det fine publikum sad. Ofte gav tilskuerne i parterret deres bifald eller mishag stærkt til kende.Parterret	72	1	v10:72 (1829)	medium	located+place-type	
Roller	Roller	navnet optræder i Jens Baggesens epos Thora fra Havsgaard, 1814-1816, og i Adam Oehlenschlägers Hroars Saga, 1817.	1822	1822	10	Scene af: Røverne i VissenbergVissenbjerg, sogn ca. 10 km vest for Odense. Sagnet fortæller, at en røverbande her havde dybe gange under landevejene, og at der i røverkulens loft hang klokker, som ringede, når nogen kørte forbi, jf. Thiele 1, 2.Vissenberg i Fyen	64	1	v10:64 (1822)	medium	located	
