place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Abydos … Sestos	Abydos … Sestos	antikke græske byer på hhv. den asiatiske og den europæiske side af Dardanellerne.	1842	1842	14	En Digters Bazar	448	1	v14:448 (1842)	high	head-noun+place-type	
Agamemnons Grav	Agamemnons Grav	græsk sagnkonge i Mykene (se kort) på det nordøstlige Peloponnes, søn af Atreus; leder af togtet mod Troja. Efter hjemkomsten fra Troja blev han myrdet af sin hustru Klytaimnestra som hævn, fordi han under togtet havde ofret datteren Ifigenia for at få gunstig vind. Atreus’ skatkammer i Mykene, der er en såkaldt kuppelgrav fra 1300-1250 f.Kr., kaldes også Agamemnons grav.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Albano	Albano	(Albano-Laziale) ved Lago Albano; se kort.	1842	1842	14	En Digters Bazar	337	1	v14:337 (1842)	high	se-kort	
Alexisbad	Alexisbad	kurbadested i Selke-dalen, grundlagt 1810.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	125	1	v14:125 (1831)	high	in-register+place-type	geo-2958541
Alster	Alster(en)	53 km lang biflod til Elben. Opdæmmes i Hamburg til de to kunstige søer Außen-Alster og Binnen-Alster. ¶ biflod til Elben, der opdæmmes i to kunstige søer i Hamburg, Außen-Alster og Binnen-Alster.	1831	1831 1842	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	74	2	v14:74 (1831); v14:578 (1842)	high	in-register+located+place-type+head-noun	geo-2958108
Altona	Altona	by nordvest for Hamburg, der dengang hørte under den danske krone og senere voksede sammen med Hamburg.	1842	1842	14	En Digters Bazar	578	1	v14:578 (1842)	high	in-register+head-noun+located+place-type	geo-2911296
Amalfi	Amalfi	kystby i Salernobugten syd for Napoli; se kort	1835	1835	14	Søndagsblad. Et æsthetisk Ugeskrift	201	1	v14:201 (1835)	high	in-register+se-kort+head-noun+located+place-type	geo-3183130
Amphitheatret udenfor Capua	Amphitheatret udenfor Capua	Italiens næststørste amfiteater, bygget i 1. århundrede e.Kr. i den antikke by Capua, nuværende Santa Maria Capua Vetere. 5 km nordligere ligger det nuværende Capua; se kort.	1842	1842	14	En Digters Bazar	331	1	v14:331 (1842)	high	se-kort+place-type	
Ancona	Ancona	se kort.	1842	1842	14	En Digters Bazar	351	1	v14:351 (1842)	high	se-kort	
Apatin … Paks	Apatin … Paks	se kort.	1842	1842	14	En Digters Bazar	550	1	v14:550 (1842)	high	se-kort	
Arezzo	Arezzo	se kort.	1842	1842	14	En Digters Bazar	284	1	v14:284 (1842)	high	in-register+se-kort	geo-3182884
Argonauterne	Argonauterne	søfolkene ombord på Jasons skib Argo.	1842	1842	14	En Digters Bazar	495	1	v14:495 (1842)	medium	located	
Arkadien	Arkadien(s)	bjergrigt område på Peloponnes, den sydlige halvø på det græske hovedland (se kort); siden antikken også navnet på et idyllisk sted, hvor livet leves enkelt og lykkeligt.	1842	1842	14	En Digters Bazar	374	1	v14:374 (1842)	high	se-kort+located+place-type	
armenianske Præster	armenianske Præster	tilhørende den armenske, kristne ortodokse kirke, som havde et patriarkat i Istanbul fra 1461.	1842	1842	14	En Digters Bazar	456	1	v14:456 (1842)	medium	located+place-type	
Arno	Arno	flod, der udspringer i Appenninerne, flyder igennem Firenze og videre ud mod Middelhavet. ¶ flod i Norditalien.	1842	1842	14	En Digters Bazar	271	2	v14:271 (1842); v14:522 (1842)	high	head-noun+located+place-type	
Ascanii Grav	Ascanii Grav	plads på vejen mellem Rom og Albano, hvor den trojanske sagnprins Ascanius, Æneas’ søn, ifølge traditionen er begravet.	1842	1842	14	En Digters Bazar	337	1	v14:337 (1842)	high	head-noun+located+place-type	
Assisi	Assisi	se kort.	1842	1842	14	En Digters Bazar	288	1	v14:288 (1842)	high	in-register+se-kort	geo-3182722
Astrakhan	Astrakan	Astrakhan, russisk havneby ved Det Kaspiske Hav.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	175	1	v14:175 (1831)	medium	located+place-type	
Attica	Attica(s)	Attika er navnet på den halvø i den østlige del af det centrale Grækenland, hvor Athen ligger.	1842	1842	14	En Digters Bazar	544	1	v14:544 (1842)	high	in-register+place-type	geo-6692632
Augsburg	Augsborg | Augsburg	Augsburg; se kort. ¶ H.C. Andersen opholdt sig her 16.-17. november 1840.	1842	1842	14	En Digters Bazar	237	2	v14:237 (1842); v14:243 (1842)	high	se-kort+in-register	geo-2954172
