place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
18de Februar 1862	18de Februar 1862	H.C. Andersen skulle ifølge dagbogen have været i Det Kgl. Teater og se Den Stumme i Portici, J.L. Heibergs opsætning af D.F.E. Aubers La muette de Portici, 1828, med koreografi af Bournonville; stykket blev dog aflyst på grund af sygdom.			8	(untitled)	334	1	v8:334 ()	medium	located	
Barberen … Romerdrengen	Barberen … Romerdrengen	Romersk gadebarber, malet i Rom 1864, nu på Den Hirschsprungske Samling.			8	Af Samlede Skrifter	479	1	v8:479 ()	medium	located	
Basnæs	Basnæs	familien Scavenius’ hovedgård og gods sydøst for Skælskør, hvor specielt Henriette Scavenius, Lucies mor, var en nær veninde af H.C. Andersen. ¶ familien Scavenius’ hovedgård og gods sydøst for Skælskør, hvor specielt Henriette Scavenius var en nær veninde af H.C. Andersen.			8	(untitled)	380	2	v8:380 (); v8:492 ()	medium	located+place-type	
Borreby	gammelt Sagn … Nabogaarde	Borreby, herregård syd for Skælskør, ligger kun få km fra Basnæs; sagnet har ikke kunnet identificeres.			8	(untitled)	380	1	v8:380 ()	high	head-noun+located+place-type	
Bredgadens Gaard	Bredgadens Gaard	Jonas Collins gård (bindingsværksbygning) i Bredgade 4 i København, hvor familien Collin boede fra 1802 til 1838, og hvor Louise Collin således voksede op.			8	(untitled)	361	1	v8:361 ()	medium	located+place-type	
Bregentved	Bregentved	A.W. Moltkes herregård fra ca. 1650 ved Haslev. ¶ lensgreve A.W. Moltkes herregård fra ca. 1650 ved Haslev. ¶ herregård fra ca. 1650 ved Haslev, ejet af lensgreve A.W. Moltke. ¶ herregård fra ca. 1650 ved Haslev, ejet af lensgreve A.W. Moltke, hvor H.C. Andersen fejrede julen 1848.			8	(untitled)	130	4	v8:130 (); v8:256 (); v8:475 (); v8:500 ()	high	located+place-type+head-noun	
Breitenburg	Breitenburg	gehejmestatsminister Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersens var på besøg i både 1840, 1843 og 1844; Rantzau bevirkede, at Andersen i 1838 tildeltes en årlig offentlig understøttelse på 400 Rdl.			8	(untitled)	95	1	v8:95 ()	high	in-register+located+place-type	geo-2944627
Campagnen	Campagnen	den store slette, der omgiver Rom.			8	Af Fortællinger og Digte	124	1	v8:124 ()	high	head-noun+place-type	
Cartagena	Cartagena	havneby på den spanske sydkyst, hvor H.C. Andersen opholdt sig fra 16. til 19. september 1862.			8	Digte	340	1	v8:340 ()	high	head-noun+place-type	
Charlottenborg	Charlottenborg	slot ved Kongens Nytorv, hvor Kunstakademiet havde til huse.			8	Af Samlede Skrifter	479	1	v8:479 ()	high	head-noun+located+place-type	
