place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Adolf von Brockhausen	Baron Brockhausen	Adolf von Brockhausen, preussisk gesandt i Napoli; H.C. Andersen inviteredes til middag hos Adolf von Brockhausen 11. maj 1846.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	medium	located	
af de kongelige Palaier paa Amalienborg	af de kongelige Palaier paa Amalienborg	P.F. Wulff blev 1824 chef for søkademiet, der 1788-1827 havde til huse i Brockdorffs Palæ (Frederik 8.s Palæ) på Amalienborg, hvor familien fik embedsbolig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	74	1	v17:74 (1855)	medium	located	
allerede som lille Barn optraadt paa Scenen	allerede som lille Barn optraadt paa Scenen	Weissenthurn blev i 1789 15 (el. 16) år gammel ansat ved Burgtheater.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	164	1	v17:164 (1855)	medium	located	
Alster	Alsteren	Alster, biflod til Elben, der løber igennem Hamburg (og som er omdannet til søerne Binnen-Alster og Außen-Alster).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	249	1	v17:249 (1855)	medium	located+place-type	geo-2958108
Amalfi	Amalfi	kystby i Salernobugten 25 km vest for Salerno.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v17:153 (1855)	high	in-register+head-noun+located+place-type	geo-3183130
Amrom	Amrom	øen Amrum vest for Föhr.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	287	1	v17:287 (1855)	high	head-noun+place-type	
anmeldte under Mærket y–	anmeldte under Mærket y–	H.C Andersens anmeldelse af H.C. Ørsteds foredrag i Selskabet for Naturlærens Udbredelse er trykt uden titel under mærket »« i Kjøbenhavns-Posten, nr. 108, 20. april 1839 (se denne udgaves bd. 9, s. 484-485).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	83	1	v17:83 (1855)	medium	located	
Ariccia	Ariccia	by 11 km syd for Grottaferrata.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	138	1	v17:138 (1855)	high	head-noun+located+place-type	
Augustenborg Liedertafel	»Liedertafel«	Augustenborg Liedertafel, den lokale tyske sangforening, stiftet 1843; da flere af medlemmerne havde forbindelser til hoffet, medvirkede foreningen ved flere lejligheder ved hertugfamiliens fester.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	294	1	v17:294 (1855)	high	head-noun+place-type	
Bastillen	Bastillen	middelalderborg i Paris anvendt som fængsel, stormet den 14. juli 1789 som start på den franske revolution og nedrevet umiddelbart efter.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	15	1	v17:15 (1855)	high	head-noun+located+place-type	
Beaulieus yngre Broder Edmond	Beaulieus yngre Broder Edmond	formodentlig August von Beaulieu-Marconnay, bror til Carl von Beaulieu-Marconnay og løjtnant i oldenburgsk tjeneste; han endte som major i den østrigske hær. Ifølge Dagbogen mødte H.C. Andersen ham 4. juli 1844 og gjorde 9.12. juli en udflugt til Tharandt, sydvest for Dresden, hvor August von Beaulieu-Marconnay opholdt sig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	282	1	v17:282 (1855)	medium	located	
betegnede Heiberg det	betegnede Heiberg det	jf. J.L. Heibergs anmeldelse af teaterbearbejdelsen af Agnete og Havmanden i Intelligensblade, nr. 29-30, 1. juni 1843: »Dersom det ikke var det paa Theatret opførte Udtog af Digtet, jeg her skulde omtale, men dette selv, saa vilde jeg sige, at det var et yderst mat og kraftløst Arbeide, der støtter sig paa overfladisk tilegnede Reminiscenser af Sujettets forskjellige Bearbeidelser, er udpyntet med endeel tom og falsk Lyrik, og i det hele vidner om Forfatterens sædvanlige Mangel paa Opfindelse og paa Evne til at bringe fornuftig Sammenhæng i sine Characterer og Klarhed i de fremstilte Ideer. Alle Modsætninger, som skulde staae i organisk Bestemthed imod hinanden, røres her sammen i en jevn Velling, hvori hverken den ene eller den anden er kjendelig (...) At Sagen ikke er bleven bedre, men snarere værre ved det Udtog af Digtet, som man har transporteret umiddelbart fra Bogladen op paa Scenen, forstaaer sig af sig selv. Men herved maa erindres – hvad allerede offentlig er bemærket – at Forfatteren ikke af egen Drift har bestemt sig til at bringe sit Arbeide paa Scenen, men anmodet derom af en Skuespiller, som var i Forlegenhed med sin Sommerforestilling. Rigtignok havde det været bedre, om hans Tilbøielighed til at gjøre en Tjeneste ikke havde forledet ham til at opoffre sig selv, og om Componisten Hr. Gade ikke havde ødslet sin characteristiske, følelsesfulde Musik paa et Arbeide, hvorom det var saa let at forudsige, at det ikke kunde bære den«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	296	1	v17:296 (1855)	medium	located	
Bosporus	Bosporus	stræde ved Istanbul, der forbinder Sortehavet med Marmarahavet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	297	1	v17:297 (1855)	high	in-register+head-noun+located+place-type	geo-745043
Bregentved	Bregentved	hovedgård ved Haslev, ejet af lensgreve Adam Wilhelm Moltke og komtesse Marie Elisabeth Moltke. H.C. Andersen var første gang gæst på Bregentved i sommeren 1842 og kom der flittigt op igennem 1840’erne.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	234	1	v17:234 (1855)	high	head-noun+located+place-type	
Breitenburg	Breitenburg	gehejmestatsminister Andreas Conrad Peter Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersen opholdt sig 2.-19. februar 1843.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	249	1	v17:249 (1855)	high	in-register+located+place-type	geo-2944627
Camaldoli	Camaldoli	kloster ved Napoli, beliggende ved et af Vesuvs kratere.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	high	head-noun+located+place-type	
Canal-Reisen til Stockholm	Canal-Reisen til Stockholm	den 25. juni rejser H.C. Andersen ad Göta kanal fra Göteborg mod Stockholm, hvortil han ankommer til 29. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	181	1	v17:181 (1855)	medium	located+place-type	
Canton	Canton(et)	en republik inden for den schweiziske forbundsstat.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	123	1	v17:123 (1855)	high	head-noun+place-type	
Capri	Capri	klippeø 30 km syd for Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v17:153 (1855)	medium	located	
Charlottenborg	hans Bolig	Charlottenborg, slot ved Kgs. Nytorv, hvor Det kongelige Academie for de Skønne Kunster havde til huse, og hvor Bertel Thorvaldsen som akademiets direktør 1833-1844 havde sin embedsbolig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	237	1	v17:237 (1855)	high	head-noun+located+place-type	
Cheapside	Cheapside(-Anmeldelse)	forretningsgade i London.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	266	1	v17:266 (1855)	high	head-noun+located+place-type	
Chillon	Chillon	middelalderborg ved Genèvesøen (Lac Léman), tæt ved Montreux, som H.C. Andersen besøgte 23. august 1833.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	122	1	v17:122 (1855)	high	head-noun+located+place-type	
Collins Datter og Svigersøn	Collins Datter og Svigersøn	Ingeborg og A.L. Drewsen, der sammen med Ingeborgs storesøster, Louise Collin, havde været på baderejse i Tyskland, hvor de havde gjort Felix Mendelssohn-Bartholdys bekendtskab.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	208	1	v17:208 (1855)	high	head-noun+place-type	
Conrad Rothe, nu Præst ved Fruekirke	Conrad Rothe, nu Præst ved Fruekirke	P.C. Rothe blev 1843 2. residerende kapellan ved Vor Frue Kirke i København, 1857 1. residerende kapellan og 1865 sognepræst ved kirken og stiftsprovst.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v17:213 (1855)	medium	located+place-type	
Copenhague	Copenhague	(fransk) København.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	119	1	v17:119 (1855)	high	head-noun+place-type	
Dardaneller	Dardaneller	smalt stræde mellem Europa og Asien i det nordvestlige Tyrkiet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	297	1	v17:297 (1855)	medium	located+place-type	
Dardanellerne	Dardanellerne	smalt stræde mellem Europa og Asien i det nordvestlige Tyrkiet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	218	1	v17:218 (1855)	medium	located+place-type	
den Venus … sit Bjerg	den Venus … sit Bjerg	ifølge en tysk middelalderlig tradition beboede fru Venus et bjerg i Tyskland og levede her et vellystigt levned med mænd, der lod sig lokke ind i bjerget uden nogensinde at kunne komme ud igen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	233	1	v17:233 (1855)	medium	located+place-type	
det afskyelige Attentat	det afskyelige Attentat	26. juli 1844 foretog en afskediget borgmester fra Storkow i Brandenburg, Heinrich Ludwig Tschech, et mislykket pistolattentat mod Friedrich Wilhelm 4. og dronning Elisabeth; han blev henrettet 14. december 1844 i Spandau.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	286	1	v17:286 (1855)	medium	located	
die Fürsten-Gruft	die Fürsten-Gruft	(tysk) fyrstekrypten; storhertug Carl Augusts mausoleum på kirkegården i Weimar (opført 1823-1827), hvor også storhertuginde Louise, Friedrich v. Schiller (hvis jordiske rester overførtes hertil i december 1827) og J.W. v. Goethe er bisat.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	280	1	v17:280 (1855)	medium	located	
Dom	Dom	domkirke.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	127	1	v17:127 (1855)	high	head-noun+place-type	
Doubfald	Doubfald	vandfald i Doubfloden tæt på Le Locle.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	123	1	v17:123 (1855)	high	head-noun+located+place-type	
Dresden	Dresden	H.C. Andersen ankommer til Dresden 3. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	90	1	v17:90 (1855)	high	in-register	geo-2935022
en lykkelig Moder	en lykkelig Moder	Riborg fik i alt ni børn.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	87	1	v17:87 (1855)	high	head-noun+place-type	
Etna	Ætna	Etna; vulkan på Sicilien.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	216	1	v17:216 (1855)	high	head-noun+located+place-type	
Ettersburg	Ettersburg	jagtslottet Schloß Ettersburg i Thüringerwald nordvest for Weimar.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	278	1	v17:278 (1855)	high	head-noun+place-type	
Fahlun … dansk Udgave	Fahlun … dansk Udgave	by i Dalarne, Sverige, hvor Fodreise blev udgivet 1841 af P.A. Huldbergs Forlag i samlingen »Danske Klassiker«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	80	1	v17:80 (1855)	high	head-noun+located+place-type	
Fest for »Madonna del Arco«	Fest for »Madonna del Arco«	jf. Dagbogen 1. juni 1846; madonnabilledet står i en bue på en bro på Monte Virginie ved Napoli. August Bournonville var på sin udenlandsrejse i 1841 i Napoli og skildrede sine indtryk af festen for Madonna del àrco i Mit Theaterliv, 1848, s. 160-162; over disse indtryk komponerede han 3. akt af balletten Napoli, der opførtes 1. gang på Det Kgl. Teater 29. marts 1842. H.C. Andersen var 29. maj 1846 vendt tilbage til Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	332	1	v17:332 (1855)	medium	located+place-type	
Foligno	Foligno	den mellemitalienske by Foligno (Fuligno).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	high	head-noun+place-type	
Frascati	Frascati	by 21 km sydøst for Rom.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	137	1	v17:137 (1855)	high	head-noun+located+place-type	
fri Adgang	fri Adgang	det er usandsynligt, at H.C. Andersen skulle have fået fri adgang til Det Kgl. Teater før sin første opførelse, dvs. af Kjærlighed paa Nicolai Taarn, som havde premiere 25. april 1829.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	80	1	v17:80 (1855)	medium	located	
Fusina	Fusina	kystby på fastlandet vest for Venezia.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	155	1	v17:155 (1855)	high	head-noun+located+place-type	
Gallipoli	Gallipoli	den tyrkiske havneby Gelibolu på den europæiske side af Dardanellerne.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	high	head-noun+place-type	
Gisselfeld	Familien Danneskjold paa Gisselfeld	Gisselfeld, hovedgård nordøst for Næstved, testamenteredes 1701 til Gisselfeld Adelige Jomfrukloster; klosterets leder har siden været et medlem af slægten Danneskiold-Samsøe.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	233	1	v17:233 (1855)	medium	located+place-type	
Hallein … Saltværket	Hallein … Saltværket	by 15 km syd for Salzburg; H.C. Andersen besøgte saltværket 3. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	high	head-noun+located+place-type	
Halliger	Halliger	øer med marskland ved Slesvigs vestkyst.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	287	1	v17:287 (1855)	high	head-noun+located+place-type	
Haven	Haven	Frederiksberg Have ved Frederiksberg Slot.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	37	1	v17:37 (1855)	medium	located+place-type	
Hellig Anders Kors	Hellig Anders Kors	krucifiks til minde om Hellig Anders, præst ved Skt. Peders Kirke i Slagelse, rejst på Hvilehøj vest for Slagelse, hvor en legende fortæller, at han vågnede påskedag, efter at være faldet i søvn i Jerusalem.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	67	1	v17:67 (1855)	medium	located+place-type	
Herat	(Perser fra) Herat	oaseby i det vestlige Afghanistan.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	216	1	v17:216 (1855)	high	head-noun+place-type	
Herculanum	Herculanum	oldtidsby, der sammen med Pompeji og Stabiae blev begravet ved Vesuvs udbrud 79 e.Kr. ¶ oldtidsby, der sammen med Pompeji og Stabiae blev begravet ved Vesuvs udbrud 79 e.Kr.; H.C. Andersen var her 8. marts 1841.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	2	v17:153 (1855); v17:215 (1855)	high	head-noun+place-type	
Hietzing	Hitzing	Hietzing, forstad til Wien.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	medium	located+place-type	geo-2776421
Hradschin	Hradschin	tysk navn for Hradcˇany, gammel bydel i Prag.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	321	1	v17:321 (1855)	medium	located+place-type	
Hundsrück	Hundsrück	bjerglandskab ved Mosel i Rhin-provinsen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v17:213 (1855)	medium	located+place-type	
Ingeborg	hans Børn	Ingeborg, Gottlieb, Edvard, Louise og Theodor.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	168	1	v17:168 (1855)	high	head-noun+place-type	
Ischia	Ischia	ø sydvest for Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	151	1	v17:151 (1855)	high	head-noun+located+place-type	
Jenny Lind	Jenny Lind	Jenny Lind, svensk sopran; debuterede i Stockholm 18 år gammel i Carl Maria von Webers opera Der Freischütz, 1821, men hendes stemme blev hurtigt nedslidt. I 1842 indledte hun sin anden karriere med titelrollen i Vicenzo Bellinis opera Norma, 1831. Jenny Lind blev fejret over alt i Europa og USA med tilnavnet »den svenske nattergal«; påvirket af dyb religiøsitet trak hun sig tidligt tilbage fra scenen, men gav dog enkelte koncerter. Også H.C. Andersen tog del i Jenny Lind-feberen; ved hendes ophold i København i juli 1840 mødtes de øjensynligt ikke, snarere traf han hende første gang i København 3. september 1843 hos August Bournonville.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	271	1	v17:271 (1855)	medium	located	
Jernporten	Jernporten	Port‚ile de Fier, Donaus 117 km lange dal mellem De Transsylvanske Alper og De Østserbiske Bjerge; en del af grænsen mellem Rumænien og Jugoslavien.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	221	1	v17:221 (1855)	medium	located+place-type	
»Jungfernstieg« og »Esplanaden«	»Jungfernstieg« og »Esplanaden«	centrale promenader og handelsgader i Hamburg.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	249	1	v17:249 (1855)	medium	located	
Kai Lykke	Kai Lykke(s)	storgodsejeren Kaj Lykke havde ingen tilknytning til Lykkesholm (Løkkesholm, af løkke ‘indhegning’ og -holm i betydningen ‘bakke’).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	187	1	v17:187 (1855)	medium	located+place-type	
Karoline von Wolzogen	Fru von Wolzogen	Karoline von Wolzogen, søster til Charlotte von Schiller (1790 gift med Friedrich von Schiller). Karoline von Wolzogens roman Agnes von Lilien udkom 1798.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	318	1	v17:318 (1855)	medium	located	
Kloster Mølk ved Donau	Kloster Mølk ved Donau	benediktinerkloster grundlagt 1089 ved byen Melk 80 km vest for Wien på en klippe højt over floden; var hovedkvarter for Napoleon, da han indtog Wien i 1809.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	high	head-noun+place-type	
Klosteret	Klosteret	Klosteret, opført første gang på Det Kgl. Teater 1816.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	109	1	v17:109 (1855)	high	head-noun+located+place-type	
Kongens Nytorv	Kongens Nytorv	før torvets anlæggelse var området, i daglig tale kaldet Hallandsaasen, sumpet og vanskeligt farbart.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	57	1	v17:57 (1855)	high	in-register	place-000062
kort efter … i den flyvende Post	kort efter … i den flyvende Post	»Det døende Barn« blev først trykt over i et år senere i Kjøbenhavns flyvende Post, nemlig i nr. 99, 12. december 1828, med den redaktionelle bemærkning: »Uagtet nærværende Digt allerede tilforn har været trykt i et andet Blad, saa gjør den flyvende Post sig dog en Fornøielse af at opbevare det i sit Archiv, og derved opfylde Forfatterens Ønske«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	79	1	v17:79 (1855)	medium	located	
Kullen	Kullen(s) | Kullen	halvø mellem Skälderviken og Øresund. ¶ halvø mellem Skälderviken på den svenske Kattegatkyst og Øresund.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	71	2	v17:71 (1855); v17:302 (1855)	high	in-register+head-noun+located+place-type	geo-2698848
Købmagergade	Kjøbmagergade	Købmagergade, sidegade til Østergade ved Amagertorv.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	46	1	v17:46 (1855)	high	head-noun+located+place-type	
