place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Adam Knuth	Adam Knuth	Adam Knuth, brodersøn til Marie Elisabeth Moltke fra Bregentved, hvorfra H.C. Andersen kendte ham (jf. Almanakken 31. december 1846); Adam Knuth meldte sig 1848 som frivillig og blev samme år sekondløjtnant; i slaget ved Fredericia 6. juli 1849 blev han hårdt såret og invalideret.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	75	1	v18:75 (1869)	medium	located	
Alameda	Alameda	hovedgaden.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	high	head-noun+place-type	
Alhambra	Alhambra	maurerkongernes slot uden for Granada; det omtalte besøg fandt sted den 7.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	medium	located+place-type	
Aranjuez	Aranjues	Aranjuez, spansk by ca. 40 km syd for Madrid, kendt for sit kongelige slot med det smukke haveanlæg, bygget 1561-1567 under Filip 2.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	263	1	v18:263 (1869)	medium	located+place-type	
Arthur Richard Wellesley	den nuværende Hertug af Wellington	Arthur Richard Wellesley, søn af sejrherren ved Waterloo, Arthur Wellesley, hertug af Wellington; ved faderens død 1852 arvede Arthur Richard Wellesley hertugtitlen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	39	1	v18:39 (1869)	medium	located	
Ben Lomond	Ben Lomond	bjerg ved bredden af Loch Lomond.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	54	1	v18:54 (1869)	high	head-noun+place-type	
Bloksbjerg	Brocken(s)	Bloksbjerg, bjergkæde i Harzen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	315	1	v18:315 (1869)	high	in-register+head-noun+located+place-type	place-000023
Borreby	Borreby	hovedgård 2 km syd for Skelskør.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+located+place-type	
Børglum Kloster	Børglum Kloster	hovedgård 20 km sydvest for Hjørring nær Løkken Strand; tidligere kongsgård (1000-tallet), bispesæde (fra 1130’erne) og præmonstratenserkloster; ved reformationen inddraget under kronen, siden privateje, fra 1835 i slægten Rottbøll.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v18:213 (1869)	high	head-noun+located+place-type	
Caroline Amalie	Caroline Amalie	H.C. Andersen var 17.20. maj hendes gæst på Sorgenfri Slot ved Lyngby.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	192	1	v18:192 (1869)	medium	located+place-type	
Chillon	Chillon	middelalderborg ved Genèvesøen (Lac Léman), tæt ved Montreux; den engelske digter Lord Byron udgav 1816 sonnetten The Prisoner of Chillon (dansk Fangen i Chillon, 1842). H.C. Andersen besøgte slottet 29. juli 1846.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	15	1	v18:15 (1869)	high	head-noun+located+place-type	
Clapton	Clapton	forstad nord for London; besøget fandt sted 11. juli 1847. En anden og noget afvigende skildring af besøget findes trykt i Mary Howitt An Autobiography, bd. 2, 1889, s. 29-31.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	41	1	v18:41 (1869)	high	head-noun+located+place-type	
Coimbra	Coimbra	byen, der ligger i det nordlige Portugal, har rod i den romerske Aeminium, senere Conimbriga; universitetsby 1308 og i en senere periode hovedstad	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	311	1	v18:311 (1869)	high	head-noun+place-type	
Cultusminister	Cultusminister	kirke- og undervisningsminister; Monrad var kultusminister maj-december 1859 og fra februar 1860.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+place-type	
Cultusministeren, Biskop Monrad	Cultusministeren, Biskop Monrad	kirke- og undervisningsminister D.G. Monrad, kultusminister maj-december 1859 og fra februar 1860; H.C. Andersen kom for at aflevere et eksemplar af I Spanien.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	269	1	v18:269 (1869)	high	head-noun+place-type	
de revolutionaire Bevægelser	de revolutionaire Bevægelser	den borgerlige revolution i Spanien 1868-1874 førte til republikkens udråbelse og dronning Isabellas afgang, men endte med et statskup i 1874.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	309	1	v18:309 (1869)	medium	located	
den lille, snevre, trykkede Skueplads	den lille, snevre, trykkede Skueplads	først i sommeren 1850 ombyggedes og udvidedes scenen i Casino.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	112	1	v18:112 (1869)	medium	located	
der var jo Oehlenschläger … Hædersbesøg i Stockholm	der var jo Oehlenschläger … Hædersbesøg i Stockholm	Adam Oehlenschläger havde juli-august 1847 været i Sverige og der bl.a. tilbragt tre uger i Stockholm, jf. Erindringer, bd. 4, 1851: »Det vilde moret Dig at være tilstede ved Kunstforeningens Fest i den botaniske Hauge, da de Stockholmske Damer kom en masse med Blomster, som de kastede til mig, medens jeg maatte gjøre Touren en halv Snees Gange omkring i deres Vrimmel (de opfyldte hele Haven)« (s. 275); begivenheden omtales (med to små billeder) i Corsaren, nr. 359, 6. august 1847.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	89	1	v18:89 (1869)	medium	located	
det gamle Slot	det gamle Slot	det nuværende slot er opført 1498 af Ludvig 12.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	267	1	v18:267 (1869)	high	head-noun+place-type	
Domkirke	Domkirke	den gotiske katedral Saint-Pierre de Poitiers, grundlagt 1162.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	266	1	v18:266 (1869)	high	head-noun+place-type	
Domkirken	Domkirken	den gotiske katedral Saint André, grundlagt 1096.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	266	1	v18:266 (1869)	high	head-noun+place-type	
Edgar Collin	Edgar Collin	søn af Gottlieb Collin, Jonas Collins ældste søn; han kom 4. august til München og ledsagede den 8. august H.C. Andersen over Ulm og Stuttgart til det württembergske Badested Wildbad, hvor de opholdt sig 11.-15. Den 15. fortsatte de over Karlsruhe, Freiburg, Schaffhausen, Zürich og Luzern og kom den 20. til Brunnen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	185	1	v18:185 (1869)	medium	located	
Eggert Christopher Tryde	Provst Tryde	Eggert Christopher Tryde, sognepræst ved Vor Frue Kirke; C.E. Trydes tale er gengivet i Hans Christian Ørsteds Jordefærd, 1851, s. 19-29.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	126	1	v18:126 (1869)	medium	located+place-type	
Einsiedeln	Einsiedeln	kloster og valfartssted i en sidedal i kanton Schwyz, godt 30 km fra Brunnen, hvortil H.C. Andersen kom 14. juli.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	240	1	v18:240 (1869)	high	head-noun+place-type	
Elche	Elche	byen passeredes den 23. september på veje til Murcia, hvor de blev til den 26.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	254	1	v18:254 (1869)	high	head-noun+place-type	
F.L.B. Zeuthen	Zeuthen	F.L.B. Zeuthen, sognepræst i Sorø 1849-1860.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	250	1	v18:250 (1869)	medium	located	
Familien	Familien	Borreby ejedes af cand.jur. Adolph Frederik Holten Castenschiold, gift med en datter af den unge H.C. Andersens velgører, notarius publicus, etatsraad G.H. Olsen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+place-type	
Frederik Ferdinand Biering	Præsten	Frederik Ferdinand Biering, siden 1848 sognepræst i Svindinge.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	131	1	v18:131 (1869)	medium	located	
Frederiksborg Slot	Frederiksborg Slot	Frederiksborg Slot brændte natten mellem den 16. og 17. december 1859.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	223	1	v18:223 (1869)	high	in-register+head-noun+place-type	geo-2621938
Frederikshavn	Fladstrand	Frederikshavn, hvor H.C. Andersen opholdt sig 11.-16. august.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	217	1	v18:217 (1869)	high	head-noun+place-type	
