place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Alhambra	Alhambra	slot i Granada.	1853	1853	2	Nissen hos Spekhøker(en)Spekhøkeren	72	1	v2:72 (1853)	high	head-noun+located+place-type	
Antvorskov Kloster	Antvorskov Kloster	johanitterkloster fra ca. 1164, ombygget til kongeslot 1580-1584. Nord- og vestfløjen blev nedrevet 1814-1816 og østfløjen i 1830’erne.	1859	1859	2	Et Stykke Perlesnor	281	1	v2:281 (1859)	high	head-noun+place-type	
Bakken	Bakken	Valby bakke.	1859	1859	2	Børnesnak	280	1	v2:280 (1859)	high	head-noun+place-type	
Berner-Oberland	Berner-Oberland	bjergkæde i det sydvestlige Schweiz, der strækker sig langs Rhôneflodens nordlige bred. –	1862	1862	2	Iisjomfruen	394	1	v2:394 (1862)	high	head-noun+place-type	
Boldgade	Boldgade	distrikt.	1860	1860	2	Gaardhanen og Veirhanen	297	1	v2:297 (1860)	high	head-noun+place-type	
Braunschweiger-Mumme	Braunschweiger-Mumme	stærk, mørk øl fra Braunschweig.	1858	1858	2	Flaskehalsen	169	1	v2:169 (1858)	medium	located	
Campagnen	Campagnen	landskabet omkring Rom. ¶ flodslette uden for Rom og Tiberens nedre løb.	1853	1853 1862	2	Om Aartusinder	73	2	v2:73 (1853); v2:441 (1862)	high	head-noun+located+place-type	
Canton	Canton	en republik inden for den schweiziske forbundsstat.	1862	1862	2	Iisjomfruen	393	1	v2:393 (1862)	high	head-noun+place-type	
Dent du Midi	Dent du Midi	bjergtop i Berneralperne på 3260 m.	1862	1862	2	Iisjomfruen	430	1	v2:430 (1862)	medium	located	
det gamle Frøken-Kloster	det gamle Frøken-Kloster	Odense Adelige Jomfrukloster ved Albani Torv, oprettet i 1716 i den gamle bispegård, som blev opført 1504-1508.	1858	1858	2	Hurtigløberne	239	1	v2:239 (1858)	high	head-noun+place-type	
Diablerets	Diablerets	kalkstensbjerg på 3246 m i Freiburgeralperne.	1862	1862	2	Iisjomfruen	422	1	v2:422 (1862)	high	head-noun+located+place-type	
