place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Amalfi	Amalfi	kystby i Salernobugten syd for Napoli.	1835	1835	4	Improvisatoren	254	1	v4:254 (1835)	high	in-register+head-noun+located+place-type	geo-3183130
Apenniner	Apenniner	bjergkæde i Mellemitalien.	1835	1835	4	Improvisatoren	159	1	v4:159 (1835)	high	head-noun+located+place-type	
Appeninerne	Appeninerne	bjergkæde i det centrale Italien, der strækker sig fra Posletten og sydpå.	1835	1835	4	Improvisatoren	307	1	v4:307 (1835)	high	head-noun+place-type	
araceli	araceli	kirken Santa Maria in Aracoeli med den hellige bambino, Jesusbarnet (1400-tallet), udskåret af oliventræ fra Getsemane af en franciskanermunk. Kirken er beliggende på den nordøstlige top af Capitol, en af Roms syv høje.	1835	1835	4	Improvisatoren	71	1	v4:71 (1835)	high	head-noun+place-type	
Ariccia	Ariccia	by i Albanerbjergene.	1835	1835	4	Improvisatoren	194	1	v4:194 (1835)	high	head-noun+located+place-type	
Ascanii Grav	Ascanii Grav	plads ved vejen fra Albano til Rom, hvor Æneas’ søn, Ascanius, skulle være begravet.	1835	1835	4	Improvisatoren	283	1	v4:283 (1835)	high	head-noun+located+place-type	
Besançon	Besançon	fransk by nordvest for Le Locle.	1836	1836	4	O. T.	452	1	v4:452 (1836)	medium	located+place-type	
Bjergprædiken	Bjergprædiken	sigter til den såkaldte bjergprædiken i Matthæus 5-7.	1835	1835	4	Improvisatoren	169	1	v4:169 (1835)	medium	located	
Blegen	Blegen	plads, hvor tøjet efter vask blev lagt til tørre og bleget i solen.	1835	1835 1836	4	Improvisatoren	200	2	v4:200 (1835); v4:427 (1836)	high	head-noun+place-type	
Brenta	Brenta	flod, der udmunder ved Venezia.	1835	1835	4	Improvisatoren	347	1	v4:347 (1835)	high	head-noun+located+place-type	
Campagne	Campagne	den store slette, der omgiver Rom.	1835	1835	4	Improvisatoren	77	1	v4:77 (1835)	high	head-noun+place-type	
Carrara	Carrara	by nordvest for Firenze, berømt for sine marmorbrud.	1835	1835 1836	4	Improvisatoren	229	3	v4:229 (1835); v4:349 (1835); v4:382 (1836)	high	head-noun+located+place-type	
Cascade	Cascade	vandfald; her Trevifontænens kunstige vandfald.	1835	1835	4	Improvisatoren	73	1	v4:73 (1835)	high	head-noun+place-type	
Castelamare	Castelamare	by syd for Napoli.	1835	1835	4	Improvisatoren	248	1	v4:248 (1835)	high	head-noun+located+place-type	
Chaumonydalen	Chaumonydalen	Chamonixdalen nord for Mont Blanc i Frankrig.	1835	1835	4	Improvisatoren	350	1	v4:350 (1835)	high	head-noun+place-type	
Colosseum	Colosseum	ruinen af det mægtige amfiteater i Rom (opført i det 1. århundrede e.Kr.).	1835	1835	4	Improvisatoren	66	1	v4:66 (1835)	high	in-register	geo-6269248
curia hostilia	curia hostilia	i oldtiden den bygning på Forum Romanum, hvor Roms senat mødtes.	1835	1835	4	Improvisatoren	66	1	v4:66 (1835)	medium	located	
de borromæsike Øer	de borromæsike Øer	øer i Lago Maggiore.	1836	1836	4	O. T.	624	1	v4:624 (1836)	high	head-noun+located+place-type	
Dei frari	Dei frari	Franciskanerkirken Santa Maria Gloriosa dei Frari med gravmonumenter over bl.a. billedhuggeren Canova og maleren Tizian (Tiziano Vecellio).	1835	1835	4	Improvisatoren	354	1	v4:354 (1835)	high	head-noun+place-type	
den borghesiske Familie	den borghesiske Familie	af fyrsteslægten Borghese, som i Rom ejede et stort palads og et lystslot med park.	1835	1835	4	Improvisatoren	84	1	v4:84 (1835)	medium	located+place-type	
den gamle ødelagte Bro	den gamle ødelagte Bro	Ponte Rotto (den ødelagte bro) syd for Tiberøen, opført i 100-tallet e.Kr.; dens oprindelige navn var Pons Aemilius.	1835	1835	4	Improvisatoren	72	1	v4:72 (1835)	medium	located+place-type	
den venetianske Plads	den venetianske Plads	pladsen foran Palazzo Venezia, Roms ældste renæssancebygning.	1835	1835	4	Improvisatoren	161	1	v4:161 (1835)	high	head-noun+place-type	
det hellige Huus	det hellige Huus	Casa santa i domkirken i Loretto ved Adriaterhavet skal være jomfru Marias hus, flyttet hertil fra Nazareth af englene.	1835	1835	4	Improvisatoren	311	1	v4:311 (1835)	medium	located+place-type	
det stolte Hof ved Ferrara	det stolte Hof ved Ferrara	hovedstad i provinsen af samme navn, 20 km sydvest for Venezia, hvor Tasso i 1565 blev knyttet til kardinal Luigi d’Estes hof, siden til hertug Alfonso 2. Tasso kæmpede mod sindssyge og led flere nervøse sammenbrud i tiden i Ferrara, bl.a. under syv års indespærring på sindssygehospital. At Alfonso 2. spærrede Tasso inde af hensyn til Leonores rygte, hører til romantikkens mest yndede kunstnermyter, jf. Lord Byrons Lament of Tasso, 1817.	1835	1835	4	Improvisatoren	288	1	v4:288 (1835)	high	head-noun+located+place-type	
Diario romano	Diario romano	romersk dagbog; egentlig en fortegnelse over årets kirkefester i Rom, men også navnet på Roms (siden: Italiens) første dagblad, udgivet fra 1716.	1835	1835	4	Improvisatoren	142	1	v4:142 (1835)	medium	located	
Domo d’Ossola	Domo d’Ossola	by ved Simplonvejen.	1836	1836	4	O. T.	624	1	v4:624 (1836)	high	head-noun+located+place-type	
Doubfaldet	Doubfaldet	vandfald i Doubfloden tæt på Le Locle.	1836	1836	4	O. T.	450	1	v4:450 (1836)	high	head-noun+located+place-type	
Egerias Grotte	Egerias Grotte	kilde i en lund uden for Porta Capena ved Via Appia Antica lidt syd for Rom; viet til den romerske kildegudinde Egeria.	1835	1835	4	Improvisatoren	66	1	v4:66 (1835)	high	head-noun+located+place-type	
Ferrara	Ferrara	by på Posletten.	1835	1835	4	Improvisatoren	335	1	v4:335 (1835)	high	head-noun+located+place-type	
