place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
alle Troesbekjendelserne	alle Troesbekjendelserne	den danske kirke har tre formuleringer af kirkens tro, kaldet den apostolske, den nikænokonstantinopolitanske og den athanasianske trosbekendelse.	1857	1857	6	»At være eller ikke være«	118	1	v6:118 (1857)	high	head-noun+place-type	
Bloksbjerg	Brocken	Bloksbjerg; det højeste bjerg i Harzen, hvor heksene ifølge folketroen samlede sig.	1857	1857	6	»At være eller ikke være«	83	1	v6:83 (1857)	high	in-register+head-noun+located+place-type	place-000023
Cains Gjerning	Cains Gjerning	Kains brodermord på Abel, jf. 1. Mosebog 4.	1857	1857	6	»At være eller ikke være«	49	1	v6:49 (1857)	medium	located	
Campagnen	Campagnen	den store slette, der omgiver Rom.	1870	1870	6	Lykke-Peer	333	1	v6:333 (1870)	high	head-noun+place-type	
Cascader	Cascader	vandfald.	1857	1857	6	»At være eller ikke være«	82	1	v6:82 (1857)	high	head-noun+place-type	
Cultusminister	Cultusminister	dækkede både kirke- og undervisningsministeriet, indtil de blev adskilt i 1916.	1857	1857	6	»At være eller ikke være«	131	1	v6:131 (1857)	high	head-noun+place-type	
Dannevirke	Dannevirke	fæstningsanlæg i Slesvig, hvis ældste dele stammer fra 650; udbygget i flere omgange. Det mistede sin militære betydning i 1300-tallet, men blev et nationalt symbol under Treårskrigen, 1848-1851.	1857	1857	6	»At være eller ikke være«	171	1	v6:171 (1857)	medium	located	
Eideren	Eideren(s)	grænsefloden mellem Slesvig og Holsten.	1857	1857	6	»At være eller ikke være«	173	1	v6:173 (1857)	high	head-noun+located+place-type	
et Slot i Østerige	et Slot i Østerige	tekst og melodi til folkevisen »Der ligger et slot i Østerrig« findes i Rasmus Nyerups Udvalg af danske Viser fra Midten af det 16. Aarh. til henimod Midten af det 18., bind I-II, 1821.	1857	1857	6	»At være eller ikke være«	102	1	v6:102 (1857)	medium	located+place-type	
FabrikenFabrikken	FabrikenFabrikken	Silkeborg Papirfabrik.	1857	1857	6	»At være eller ikke være«	39	1	v6:39 (1857)	high	head-noun+place-type	
Fredericia	Fredericia	slesvigholstenerne indesluttede byen efter slaget ved Kolding, mens rigstropperne forfulgte general Olaf Rye nordpå.	1857	1857	6	»At være eller ikke være«	198	1	v6:198 (1857)	high	head-noun+located+place-type	
Garnisonspladsen	Garnisonspladsen	nu Skt. Annæ Plads (ved Garnisonskirken, Den Herre Zebaoths Kirke). Pladsen var planlagt sammen med den øvrige Frederiksstad (omkring Amalienborg) 1750, men blev først beplantet 1852; skildringen må sigte til forholdene kort forinden.	1857	1857	6	»At være eller ikke være«	131	1	v6:131 (1857)	medium	located+place-type	
Gjødvad	Gjødvad	landsby øst for Silkeborg.	1857	1857	6	»At være eller ikke være«	43	1	v6:43 (1857)	high	head-noun+located+place-type	
Holmen	Holmen	fællesbetegnelse for søværnets tidligere område i sundet mellem København og Amager. Holmen bestod oprindeligt af en række øer og holme, heriblandt Gammelholm, Dokøen og Nyholm; øerne tilhørte kongen og var i århundreder frem til og efter H.C. Andersens tid orlogsflådens base og værft.	1857	1857	6	»At være eller ikke være«	18	1	v6:18 (1857)	medium	located+place-type	
Jungfernstieg	Jungfernstieg	promenade i Hamborg ved Elb-bifloden Alster.	1857	1857	6	»At være eller ikke være«	81	1	v6:81 (1857)	high	in-register+head-noun+located+place-type	geo-6944304
Kirkegaarden	Kirkegaarden	Assistens Kirkegård på Nørrebro, indviet 1760.	1857	1857	6	»At være eller ikke være«	32	1	v6:32 (1857)	medium	located	
Kjøbmands Hafn	Kjøbmands Hafn	byen omtales i 1186 som Hafn; i 1253 som Køpmannæhafn.	1857	1857	6	»At være eller ikke være«	28	1	v6:28 (1857)	high	head-noun+place-type	
komme med en Følgesvend	komme med en Følgesvend	udtrykket bruges i visse kortspil om kort, der uden at passe til udspillet dog kan gives med.	1857	1857	6	»At være eller ikke være«	74	1	v6:74 (1857)	high	se-kort	
Linaa	Linaa	landsby øst for Silkeborg.	1857	1857	6	»At være eller ikke være«	43	1	v6:43 (1857)	high	head-noun+located+place-type	
Nørresnede	Nørresnede	byen Nørre Snede i Østjylland, hvor danske dragoner natten mellem 8. og 9. juni 1849 fangede et kommando kurhessiske husarer (64 mand); af Erik Pontoppidans Den Danske Atlas, bind IV, 1768, s. 476, fremgår det, at den hos Saxo omtalte sagnkonge Snio og hans dronning er begravet ved Nørre Snede.	1857	1857	6	»At være eller ikke være«	198	1	v6:198 (1857)	high	head-noun+place-type	
Rundetaarn … Almanaken	Rundetaarn … Almanaken	tårnet forekommer på almanakkens titelblad fra 1685; det blev bygget 1637-1642 som erstatning for den danske adelsmand og astronom Tycho Brahes (1546-1601) observatorium på Ven, som han havde forladt allerede 1597. Det officielle latinske navn var Stelleburgi Regis Hauniensis (Københavns Kongelige Stjerneborg).	1857	1857	6	»At være eller ikke være«	27	1	v6:27 (1857)	high	head-noun+place-type	
Voel	Voel	landsby nordøst for Silkeborg.	1857	1857	6	»At være eller ikke være«	43	1	v6:43 (1857)	high	head-noun+located+place-type	
ødelagdes i den svenske Krig	ødelagdes i den svenske Krig	jf. SGr 18 og ADr XXI om beskydning af slottet fra Galgebakken.	1857	1857	6	»At være eller ikke være«	62	1	v6:62 (1857)	medium	located+place-type	
Ødipus	Oedip	Ødipus, som i Sofokles’ (495-406 f.Kr.) tragedie Kong Ødipus løser sfinksens gåde.	1857	1857	6	»At være eller ikke være«	158	1	v6:158 (1857)	medium	located	
