place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Arcone	Arcone	forbjerget Arkona på den tyske ø Rügen, der, som Stevns Klint, bl.a. består af kridt.	1830	1830	7	Digte	95	1	v7:95 (1830)	high	head-noun+place-type	
Aude sapere	Aude sapere	(latin, egentlig sapere aude) hav mod til at bruge din forstand; citat fra Horats Epistler I,2,40, som blev gjort berømt af Kant i Was ist Aufklärung?, 1784 (dansk Hvad er Oplysning?, 1797), hvori han skriver: »Sapere aude! Habe Mut dich deines eigenen Verstandes zu bedienen! ist also der Wahlspruch der Aufklärung« (tysk) Sapere aude! Hav mod til at betjene dig af din egen forstand! er altså oplysningens valgsprog.			7	Poetisk Spiseseddel	49	1	v7:49 ()	high	head-noun+place-type	
Bloksbjerg	Brocken	Bloksbjerg, det højeste bjerg i Harzen, hvor heksene efter sagnet samlede sig.	1833	1833	7	Af Samlede Digte	455	1	v7:455 (1833)	high	in-register+head-noun+located+place-type	place-000023
Cechy	Böhmen	Cechy; landområde omkring Prag i det nuværendeˇ Tjekkiet; oprindelig fyrstendømme og fra 1198 kongerige i Centraleuropa.	1832	1832	7	Af Ideer og Udkast	356	1	v7:356 (1832)	high	in-register	
Dannevirke	Dannevirke	fæstningsanlæg i Slesvig, hvis ældste dele stammer fra 650; udbygget i flere omgange. Det mistede sin militære betydning i 1300-tallet, men blev et nationalt symbol under Treårskrigen, 1848-1850.	1839	1839	7	Til Kongen den 28de Mai 1839	558	1	v7:558 (1839)	medium	located	
de Dødes stille Have	de Dødes stille Have	her: Assistens Kirkegård på Nørrebro i København.	1832	1832	7	Vignetter til danske Digtere	322	1	v7:322 (1832)	medium	located+place-type	
Elvedgaard	Elvedgaard	hovedgård nordvest for Odense.	1830	1830	7	Digte	143	1	v7:143 (1830)	high	head-noun+located+place-type	
Emilies Kilde	Emilies Kilde	kilde ved Strandvejen syd for Klampenborg med mindesmærke over Emilie Schimmelmann, rejst 1780 af hendes mand, H.E. Schimmelmann; beskrevet af Pram i digtet Emilias Kilde, 1782.	1832	1832	7	Vignetter til danske Digtere	327	1	v7:327 (1832)	high	head-noun+located+place-type	
Finderup	Finnerup	Finderup; by sydvest for Viborg.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	429	1	v7:429 (1833)	high	head-noun+located+place-type	
Ganges	Ganges	hellig flod i Indien.	1833	1833	7	Den femte Mai (1821)	442	1	v7:442 (1833)	medium	located+place-type	
Gisselfeld	Gisselfeldt	Gisselfeld; herregård ved Haslev på Sjælland.	1839	1839	7	Sang afsjunget ved Deres kongelige Høiheder Prinds Christians og Prindsesse Caroline Amalies Møde paa Gisselfeldt den 30 August 1839	561	1	v7:561 (1839)	high	head-noun+located+place-type	
gothisk gamle	gothisk gamle (Frederiksborg)	fra middelalderen, ærværdige; Frederiksborg Slot i Nordsjælland, hvis nuværende hovedbygning er fra starten af 1600-tallet, er opført på samme sted i slotssøen, hvor den middelalderlige herregård Hillerødsholm tidligere lå.	1839	1839	7	Frederiksborg	548	1	v7:548 (1839)	medium	located+place-type	
Hakon Jarl	Hakon Jarl	Oehlenschläger »Hakon Jarl hin Rige. Et Sørgespil« fra Nordiske Digte, 1807.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	401	1	v7:401 (1833)	medium	located	
Hakons Død	Hakons Død	jf. Oehlenschlägers »Hakon Jarl hin Rige. Et Sørgespil« fra Nordiske Digte, 1807.			7	Til den babyloniske Taarnbygger i Miniature	171	1	v7:171 ()	medium	located	
Herthas skjönne Dale	Herthas skjönne Dale	Herthadal ved Lejre.	1838	1838	7	Til Etatsraad Hornemann fra Studenterforeningen den 20. October 1838	540	1	v7:540 (1838)	high	head-noun+place-type	
Ischia	Ischia	ø sydvest for Napoli.	1836	1836	7	Vandring paa Vesuv. Ved Eruptionen om Aftenen den 24 Februar 1834	496	1	v7:496 (1836)	high	head-noun+located+place-type	
karsk	karsk	sund, glad.	1833	1833 1834 1838	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	432	3	v7:432 (1833); v7:477 (1834); v7:530 (1838)	high	head-noun+place-type	
Kongen har … Graven	Kongen har … Graven	Valdemar blev begravet i Vordingborg 1375, men blev to år senere flyttet til Sorø.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	429	1	v7:429 (1833)	medium	located+place-type	
Kullen	Kullen	halvø mellem Skälderviken og Øresund.	1830	1830	7	Digte	102	1	v7:102 (1830)	high	in-register+head-noun+located+place-type	geo-2698848
Laokoon	Laokoon	antik skulptur af den trojanske præst Laokoon og hans to sønner, som på Apollons bud dræbes af slanger.	1839	1839	7	Til Kongehuset	550	1	v7:550 (1839)	medium	located	
Lethe	Lethe	i græsk mytologi en kilde el. biflod til Styx, dødsrigets flod; ved at drikke af Lethes vande glemmer den døde sit tidligere liv.	1830	1830	7	Digte	79	1	v7:79 (1830)	medium	located+place-type	
Monte cavo	Monte cavo	egentlig det højeste bjerg i Albanerbjergene; her nok vin fra dette område.	1836	1836	7	Sang ved Romergildet den 8de Marts 1836	500	1	v7:500 (1836)	medium	located+place-type	
Nicolai	Nicolai	den daværende Nikolaj Kirke på Nikolaj Plads i København.	1830	1830	7	Digte	133	1	v7:133 (1830)	medium	located+place-type	
Nysø	Nysø	hovedgård og gods fra 1670 ved Præstø, som på H.C. Andersens tid var ejet af baron Hendrik Stampe; billedhuggeren Thorvaldsen boede efter sin hjemkomst fra Italien 1838 indtil sin død 1844 ofte på Nysø, hvor han fik indrettet et atelier.	1839	1839	7	Inpromtu til Thorvaldsen, da han paa Nysø havde fuldendt i Leer Holbergs Buste	562	1	v7:562 (1839)	high	in-register+head-noun+located+place-type	geo-2615912
Olaf Trygveson	Olaf Trygveson	den norske kong Olav 1. Tryggvason blev dræbt under de store søslag ved Svold, hvor han kæmpede på sit skib, Ormen Lange, imod den danske konge, Svend 1. Tveskæg.	1830	1830	7	Digte	80	1	v7:80 (1830)	medium	located	
P. F. Friis: Du sang om Liremanden	P. F. Friis: Du sang om Liremanden	hentydning til P.F. Friis’ digt »Gamle Lirendreier og Kildemanden« fra A.P. Liunge Juletræet. En Samling Originale Fortællinger og Digte, 1821, s. 35-36.	1832	1832	7	Vignetter til danske Digtere	321	1	v7:321 (1832)	medium	located	
