place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
apage	apage	(græsk) vig bort; fra Matthæus 4,10 og Lukas 4,8 (»apage Satana!«).	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	199	1	v9:199 (1829)	high	head-noun+located+place-type	
Arcadien	Arcadien	oprindelig navnet på græsk landskab på Peloponnes; fra 1600-tallets hyrdedigtning tillige navnet på idyllisk og fredfyldt landskab.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	208	1	v9:208 (1829)	medium	located+place-type	
»Axel og Valborg«	»Axel og Valborg«	Adam Oehlenschlägers sørgespil Axel og Valborg, 1810, havde været opført på Det Kgl. Teater siden 29. januar 1810. J.P.E. Hartmanns ouverture til stykket er slutdateret den 7. januar 1857 og blev opført første gang den 27. januar 1857 i Musikforeningen.	1860	1860	9	Illustreret Tidende	462	1	v9:462 (1860)	medium	located+place-type	
Axelshuus	Axelshuus	antoges tidligere for navnet på den borg i København, som biskop Absalon (ca. 1128-1201) lod opføre 1167; 1500-tallets historikere antog fejlagtigt, at biskop Absalon egentlig hed Aksel og hans hus derfor Akselhus.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	172	1	v9:172 (1829)	medium	located+place-type	
Bakkehuset	Philemon og Baucis Hytte	Bakkehuset; allusion til Knud Lyne Rahbeks digt »Til mit Bakkehus« i Poetiske Forsøg, bind 2, 1802. Philemon og Baucis var ifølge Ovids (43 f.Kr.-18 e.Kr.) Metamorfoser (8,621 ff.) et gammel, fromt ægtepar, der gæstfrit tog imod guderne Zeus og Hermes i deres tarvelige hytte; som tak blev hytten forvandlet til et tempel.	1869	1869	9	Erindringer fra Bakkehuset	535	1	v9:535 (1869)	medium	located	
Bakken	Bakken	Valby Bakke.	1869	1869	9	Erindringer fra Bakkehuset	535	1	v9:535 (1869)	high	head-noun+place-type	
Bestillinger til Slottet og Raadhuset	Bestillinger til Slottet og Raadhuset	både Christiansborg Slot og Københavns Rådhus var blevet hærget af ildebrande omkring århundredeskiftet, og da man herefter iværksatte restaureringen, bad man Thorvaldsen om at bidrage til udsmykningen. Til rådhuset modtog han ifølge J.M. Thiele Den danske Billedhugger Bertel Thorvaldsen og hans Værker, bind 1, 1831, s. 75, bestilling på statuer af den græske statsmand og digter Solon (ca. 640-560 f.Kr.) og den spartanske statsmand Lycurg (Lykurgos), der ifølge traditionen grundlagde det spartanske samfund i 600-tallet f.Kr. Disse to værker blev dog aldrig udført. Endvidere fik han bestilling på et andet værk, der i dag bærer titlen Jupiter tronende mellem Minerva og Nemesis, ca. 1822, som aldrig blev udført i marmor, men er opstillet i gips på Thorvaldsens Museum. Da Thorvaldsen i 1819 besøgte København, foreslog han at udføre sidstnævnte værk til Christiansborg Slot og i stedet fremstille værket Salomons Dom til rådhuset; værket blev dog aldrig udført, men findes i udkast (dateret 1835) på Thorvaldsens Museum. Til Christiansborg Slot modtog Thorvaldsen ordre på 4 basreliefs: Minerva giver det af Prometheus skabte menneske sjæl, Thorvaldsens Museum, 1807-1808, Herkules modtager udødelighedens drik af Hebe, Thorvaldsens Museum, 1808, Nemesis oplæser menneskenes gerninger for Jupiter, Thorvaldsens Museum, 1810 samt Hygiea giver Æskulaps slange næring, Thorvaldsens Museum, 1808.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	423	1	v9:423 (1844)	high	head-noun+place-type	
Brobye	Brobye	landsby på midtfyn mellem Odense og Fåborg.	1822	1822	9	Ungdoms-Forsøg	54	1	v9:54 (1822)	high	head-noun+located+place-type	
Cechy	Böhmen	Cechy; landområde omkring Prag i det nuværende Tjekkiet; oprindelig fyrstendømme og fra 1198 kongerige i Centraleuropa.	1832	1832	9	Nyeste Repertorium for Moerskabslæsning	288	1	v9:288 (1832)	high	in-register	
Christian IV	Christian den Fjerdes Skikkelse	Christian IV, Thorvaldsens Museum, 1840; findes tillige i bronze i Christian 4.s kapel i Roskilde Domkirke.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	439	1	v9:439 (1844)	medium	located+place-type	
